
 total force (fx,fy,fz) for set NROOT_NODES and time  0.5000000E-01

       -2.079133E-03  7.697476E-01 -1.481984E-05

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1000000E+00

        2.942835E-04  1.741213E+00  5.946109E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1500000E+00

        1.639053E-03  2.726199E+00  3.091204E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2000000E+00

        6.828309E-04  3.309545E+00 -3.193299E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2500000E+00

       -7.197806E-04  3.539453E+00  4.957847E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3000000E+00

       -1.791858E-03  4.199883E+00 -9.282249E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3500000E+00

        4.083133E-04  5.146600E+00  6.355107E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.4000000E+00

        1.175263E-03  6.144562E+00 -2.673952E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.4500000E+00

        9.996367E-04  6.685278E+00  5.034545E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.5000000E+00

       -9.921294E-04  7.015468E+00 -4.107803E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.5500000E+00

       -9.207402E-05  7.207092E+00  8.278352E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.6000000E+00

        9.287582E-04  7.351033E+00  1.410068E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.6500000E+00

        3.421795E-04  7.331708E+00  3.754416E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.7000000E+00

       -2.091901E-04  7.106019E+00 -3.052447E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.7500000E+00

       -9.922749E-04  7.049190E+00 -1.316612E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.8000000E+00

        9.708400E-05  7.192428E+00 -4.223494E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.8500000E+00

        6.188236E-04  7.347975E+00  1.736190E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.9000000E+00

        5.257918E-04  7.313400E+00  1.244860E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.9500000E+00

       -3.475412E-04  7.120956E+00 -3.300590E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1000000E+01

       -7.942731E-04  7.063363E+00 -1.580739E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1050000E+01

        3.511213E-05  7.188677E+00  7.996437E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1100000E+01

        5.411214E-04  7.338253E+00  1.084416E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1150000E+01

        5.457582E-04  7.300339E+00  5.128905E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1200000E+01

       -3.963089E-04  7.133954E+00 -2.093456E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1250000E+01

       -6.253463E-04  7.074137E+00 -1.417914E-06

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1300000E+01

       -6.419840E-05  7.188985E+00  2.280755E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1350000E+01

        5.523445E-04  7.325757E+00  6.646524E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1400000E+01

        4.641686E-04  7.291392E+00  8.690700E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1450000E+01

       -3.434323E-04  7.143735E+00 -5.896348E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1500000E+01

       -5.536558E-04  7.084541E+00 -9.107442E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1550000E+01

       -9.699611E-05  7.189944E+00 -1.162199E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1600000E+01

        5.350891E-04  7.313260E+00  8.261142E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1650000E+01

        3.904164E-04  7.284638E+00  6.468026E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1700000E+01

       -2.762014E-04  7.151068E+00 -4.377187E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1750000E+01

       -5.209548E-04  7.095103E+00 -8.696283E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1800000E+01

       -8.930160E-05  7.190335E+00 -1.005451E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1850000E+01

        4.862184E-04  7.302181E+00  7.367409E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1900000E+01

        3.480188E-04  7.278516E+00  6.032338E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1950000E+01

       -2.300002E-04  7.157278E+00 -4.017176E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2000000E+01

       -4.878006E-04  7.105106E+00 -7.693804E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2050000E+01

       -7.595267E-05  7.190492E+00 -1.267016E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2100000E+01

        4.305658E-04  7.292413E+00  6.886702E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2150000E+01

        3.230090E-04  7.272744E+00  5.320057E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2200000E+01

       -2.019361E-04  7.162803E+00 -3.382152E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2250000E+01

       -4.471628E-04  7.114290E+00 -7.102684E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2300000E+01

       -6.949453E-05  7.190654E+00 -1.189441E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2350000E+01

        3.822845E-04  7.283701E+00  6.188181E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2400000E+01

        3.015106E-04  7.267334E+00  4.877171E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2450000E+01

       -1.811244E-04  7.167753E+00 -2.963774E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2500000E+01

       -4.048264E-04  7.122649E+00 -6.471098E-07

