
 total force (fx,fy,fz) for set NROOT_NODES and time  0.5000000E-01

        1.312359E-04  3.683186E-01 -5.100181E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1000000E+00

        4.728189E-05  6.448054E-01  6.283272E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1500000E+00

       -1.192439E-04  7.777487E-01 -5.289658E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2000000E+00

        6.295810E-05  1.131210E+00  2.482367E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2500000E+00

        4.712315E-05  1.303467E+00  7.468793E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3000000E+00

       -1.319999E-04  1.564312E+00 -2.951785E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3500000E+00

        1.523497E-04  1.819894E+00  3.482071E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.4000000E+00

       -1.148578E-04  2.041143E+00 -2.620352E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.4500000E+00

        5.293223E-05  2.292238E+00  1.177458E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.5000000E+00

       -8.728541E-07  2.540846E+00  5.371489E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.5500000E+00

        3.814045E-05  2.558833E+00  4.783957E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.6000000E+00

       -4.380536E-05  2.532004E+00 -4.754088E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.6500000E+00

        2.065791E-05  2.554381E+00 -3.430942E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.7000000E+00

        9.389257E-06  2.544224E+00  6.274837E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.7500000E+00

       -2.826934E-05  2.542897E+00 -9.502470E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.8000000E+00

        2.986458E-05  2.549830E+00  8.938223E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.8500000E+00

       -1.883584E-05  2.543572E+00 -5.725945E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.9000000E+00

        4.485824E-06  2.545685E+00  1.943503E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.9500000E+00

        5.481619E-06  2.547716E+00  7.239048E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1000000E+01

       -8.180945E-06  2.543724E+00 -1.662252E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1050000E+01

        5.239668E-06  2.547207E+00  1.248933E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1100000E+01

       -3.852877E-07  2.545640E+00 -3.208136E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1150000E+01

       -3.130193E-06  2.545280E+00 -3.893353E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1200000E+01

        3.943393E-06  2.546663E+00  5.619261E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1250000E+01

       -2.555004E-06  2.545315E+00 -2.863305E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1300000E+01

        3.988420E-07  2.545983E+00 -1.409042E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1350000E+01

        1.210082E-06  2.546066E+00  4.446094E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1400000E+01

       -1.687136E-06  2.545559E+00 -5.043697E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1450000E+01

        1.207447E-06  2.546072E+00  3.617147E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1500000E+01

       -3.491091E-07  2.545821E+00 -1.435724E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1550000E+01

       -3.344140E-07  2.545770E+00 -2.977067E-10

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1600000E+01

        5.763026E-07  2.545998E+00  1.009571E-09

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1650000E+01

       -4.233325E-07  2.545762E+00 -8.103225E-10

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1700000E+01

        9.913740E-08  2.545892E+00  1.951506E-10

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1750000E+01

        1.699626E-07  2.545891E+00  3.349077E-10

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1800000E+01

       -2.674102E-07  2.545811E+00 -5.179270E-10

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1850000E+01

        2.041247E-07  2.545901E+00  3.697265E-10

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1900000E+01

       -6.700382E-08  2.545850E+00 -7.262768E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.1950000E+01

       -5.141780E-08  2.545851E+00 -1.775473E-10

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2000000E+01

        1.006977E-07  2.545883E+00  2.746678E-10

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2050000E+01

       -8.225208E-08  2.545846E+00 -2.239990E-10

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2100000E+01

        3.004604E-08  2.545868E+00  1.005471E-10

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2150000E+01

        1.779201E-08  2.545866E+00  1.227152E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2200000E+01

       -3.918002E-08  2.545854E+00 -6.623857E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2250000E+01

        3.311390E-08  2.545869E+00  5.915446E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2300000E+01

       -1.251908E-08  2.545859E+00 -1.910916E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2350000E+01

       -7.165375E-09  2.545861E+00 -2.021405E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2400000E+01

        1.651167E-08  2.545865E+00  3.810152E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2450000E+01

       -1.458553E-08  2.545859E+00 -3.241230E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2500000E+01

        6.346365E-09  2.545863E+00  1.358824E-11

