# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 7.5000000000e+00
# lRef            : 1.0000000000e-01
# Aref            : 3.0000000000e-02
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	5.2350613416e-01	1.8278491265e-01	3.4072122152e-01	5.6989039616e-02	-1.2481499621e-01	1.8180403583e-01	-1.5330951602e-01	-7.8968154437e-02	7.7531553641e-01	1.0200552442e-03	7.7582556403e-01	-7.7480550879e-01
2                 	1.2656859321e-01	-2.1080928537e-01	3.3737787859e-01	1.9122662905e-01	6.8539595909e-02	1.2268703314e-01	-2.7073718618e-02	-2.7409358198e-01	1.8966296003e-01	-9.1345587229e-03	1.8509568067e-01	-1.9423023939e-01
3                 	-1.0451144569e-01	-3.0370364796e-01	1.9919220227e-01	1.7656283279e-01	1.3417776981e-01	4.2385062975e-02	4.5896353419e-02	-2.5144792511e-01	-1.5156555499e-01	-7.5343959573e-03	-1.5533275297e-01	1.4779835701e-01
4                 	-3.6223719157e-02	-9.1135141981e-02	5.4911422824e-02	5.6091364019e-02	2.5179100234e-02	3.0912263785e-02	-2.8665817752e-03	-7.3023282403e-02	-5.1245698019e-02	-2.5170226150e-04	-5.1371549150e-02	5.1119846888e-02
5                 	7.3370874067e-02	-8.0226011249e-02	1.5359688532e-01	8.4748278244e-02	2.8542823656e-03	8.1893995878e-02	-3.9519856756e-02	-1.1691144828e-01	1.1039976789e-01	-8.5569694375e-04	1.0997191942e-01	-1.1082761637e-01
6                 	8.2490169522e-02	-1.9696203485e-01	2.7945220437e-01	1.6814217577e-01	5.9988006509e-02	1.0815416926e-01	-2.4083081376e-02	-2.3820711961e-01	1.2352537339e-01	-5.0958221494e-03	1.2097746231e-01	-1.2607328446e-01
7                 	3.9019431559e-02	-2.0164964096e-01	2.4066907252e-01	1.5856395071e-01	7.4557985785e-02	8.4005964924e-02	-4.7239895693e-03	-2.2115935674e-01	5.9164846181e-02	-5.1074791248e-03	5.6611106619e-02	-6.1718585743e-02
8                 	2.1436187911e-02	-1.6650759558e-01	1.8794378349e-01	1.2984644671e-01	5.7416567566e-02	7.2429879145e-02	-7.5066557899e-03	-1.7722568954e-01	3.3405466955e-02	-3.1048581733e-03	3.1853037868e-02	-3.4957896042e-02
9                 	3.1943225570e-02	-1.8693325286e-01	2.1887647843e-01	1.4717127603e-01	5.9047627420e-02	8.8123648611e-02	-1.4538010595e-02	-2.0290486564e-01	4.9334140316e-02	-3.1524425347e-03	4.7757919049e-02	-5.0910361584e-02
10                	3.5765268184e-02	-2.1544713509e-01	2.5121240328e-01	1.6832407841e-01	7.4241561935e-02	9.4082516475e-02	-9.9204772699e-03	-2.3332976918e-01	5.5196939658e-02	-4.2329892340e-03	5.3080445041e-02	-5.7313434275e-02
11                	3.0934876409e-02	-1.9880747106e-01	2.2974234747e-01	1.5566159830e-01	7.3640311230e-02	8.2021287066e-02	-4.1904879178e-03	-2.1427490927e-01	4.7845397392e-02	-4.1892991536e-03	4.5750747815e-02	-4.9940046969e-02
12                	3.0524636801e-02	-1.9022632644e-01	2.2075096324e-01	1.4983192469e-01	6.8815993678e-02	8.1015931011e-02	-6.0999686664e-03	-2.0548864484e-01	4.7002832251e-02	-3.5353516099e-03	4.5235156446e-02	-4.8770508056e-02
13                	3.3691265577e-02	-2.0598700539e-01	2.3967827097e-01	1.6188519122e-01	7.0319104653e-02	9.1566086570e-02	-1.0623490958e-02	-2.2283263818e-01	5.1606233819e-02	-3.4707200877e-03	4.9870873775e-02	-5.3341593863e-02
14                	3.0882124904e-02	-2.2227662635e-01	2.5315875125e-01	1.7273698350e-01	7.7814350949e-02	9.4922632548e-02	-8.5541407995e-03	-2.3771768880e-01	4.7698099464e-02	-3.7827097313e-03	4.5806744598e-02	-4.9589454329e-02
15                	2.7905677417e-02	-2.1407429281e-01	2.4197997023e-01	1.6645384828e-01	7.8489447349e-02	8.7964400935e-02	-4.7374767933e-03	-2.2802713152e-01	4.3451237530e-02	-3.8580023013e-03	4.1522236380e-02	-4.5380238681e-02
16                	2.9446312389e-02	-2.0937992291e-01	2.3882623530e-01	1.6349956476e-01	7.7253528241e-02	8.6246036515e-02	-4.4962541369e-03	-2.2410307910e-01	4.5701174332e-02	-3.7449365936e-03	4.3828706036e-02	-4.7573642629e-02
17                	3.2258463853e-02	-2.1824666997e-01	2.5050513383e-01	1.7027346745e-01	7.7033856176e-02	9.3239611279e-02	-8.1028775515e-03	-2.3437590190e-01	4.9669783891e-02	-3.7385023185e-03	4.7800532732e-02	-5.1539035050e-02
18                	3.0082793353e-02	-2.3244097021e-01	2.6252376356e-01	1.8019427914e-01	8.1230694043e-02	9.8963585092e-02	-8.8664455248e-03	-2.4748236689e-01	4.6443697292e-02	-3.7810231322e-03	4.4553185726e-02	-4.8334208858e-02
19                	2.7246593172e-02	-2.3378229953e-01	2.6102889270e-01	1.8116574328e-01	8.3284208636e-02	9.7881534647e-02	-7.2986630056e-03	-2.4740559611e-01	4.2334457300e-02	-3.7222312298e-03	4.0473341685e-02	-4.4195572915e-02
20                	2.7752181651e-02	-2.3051967039e-01	2.5827185204e-01	1.7915251282e-01	8.4365455602e-02	9.4787057214e-02	-5.2108008060e-03	-2.4439576121e-01	4.3227386107e-02	-3.6550302551e-03	4.1399870979e-02	-4.5054901234e-02
21                	3.1311367119e-02	-2.2844058799e-01	2.5975195511e-01	1.7843759409e-01	8.3184596205e-02	9.5252997890e-02	-6.0342008428e-03	-2.4409627155e-01	4.8443726772e-02	-3.6950165594e-03	4.6596218492e-02	-5.0291235051e-02
22                	3.1629239202e-02	-2.3702150481e-01	2.6865074401e-01	1.8449299569e-01	8.4849859087e-02	9.9643136607e-02	-7.3966387599e-03	-2.5283612441e-01	4.8785400469e-02	-3.7846290263e-03	4.6893085956e-02	-5.0677714982e-02
23                	2.9276097158e-02	-2.4513858899e-01	2.7441468615e-01	1.9011199441e-01	8.6721669223e-02	1.0339032519e-01	-8.3343279819e-03	-2.5977663757e-01	4.5217060714e-02	-3.8053485069e-03	4.3314386460e-02	-4.7119734967e-02
24                	2.7058995596e-02	-2.5000032081e-01	2.7705931640e-01	1.9361010510e-01	8.9401501383e-02	1.0420860371e-01	-7.4035511655e-03	-2.6352981861e-01	4.2046143875e-02	-3.7469861790e-03	4.0172650786e-02	-4.3919636965e-02
25                	2.8431731961e-02	-2.4978643133e-01	2.7821816329e-01	1.9427471645e-01	9.0113296457e-02	1.0416141999e-01	-7.0240617681e-03	-2.6400229731e-01	4.4151514370e-02	-3.7007455895e-03	4.2301141576e-02	-4.6001887165e-02
26                	3.0244696706e-02	-2.5094764141e-01	2.8119233812e-01	1.9571105921e-01	9.1549093451e-02	1.0416196575e-01	-6.3064361515e-03	-2.6606998976e-01	4.6849768907e-02	-3.7175460228e-03	4.4990995895e-02	-4.8708541918e-02
27                	3.1109365960e-02	-2.5185642569e-01	2.8296579165e-01	1.9667140183e-01	9.1666185232e-02	1.0500521660e-01	-6.6695156815e-03	-2.6741110867e-01	4.8015501874e-02	-3.7586250246e-03	4.6136189362e-02	-4.9894814386e-02
28                	2.9678279854e-02	-2.5493631384e-01	2.8461459369e-01	1.9877100821e-01	9.3045937484e-02	1.0572507073e-01	-6.3395666206e-03	-2.6977545377e-01	4.5848726814e-02	-3.7837454951e-03	4.3956854066e-02	-4.7740599561e-02
29                	2.8924578775e-02	-2.5724683902e-01	2.8617141779e-01	2.0065648186e-01	9.3708082146e-02	1.0694839972e-01	-6.6201587848e-03	-2.7170912841e-01	4.4689402278e-02	-3.7811853902e-03	4.2798809583e-02	-4.6579994973e-02
30                	2.8775158596e-02	-2.6075314294e-01	2.8952830154e-01	2.0346852746e-01	9.5513872154e-02	1.0795465531e-01	-6.2203915765e-03	-2.7514072224e-01	4.4575195745e-02	-3.7639560967e-03	4.2693217696e-02	-4.6457173793e-02
31                	2.9832584485e-02	-2.6074560768e-01	2.9057819217e-01	2.0397997232e-01	9.5705627120e-02	1.0827434520e-01	-6.2843590422e-03	-2.7566189993e-01	4.6165379054e-02	-3.7540044300e-03	4.4288376839e-02	-4.8042381269e-02
32                	3.0006302768e-02	-2.6220105858e-01	2.9220736134e-01	2.0535286207e-01	9.6933799066e-02	1.0841906301e-01	-5.7426319702e-03	-2.7720420996e-01	4.6420579891e-02	-3.7527819530e-03	4.4544188915e-02	-4.8296970868e-02
33                	3.0103673527e-02	-2.6223728328e-01	2.9234095681e-01	2.0559238033e-01	9.7070935099e-02	1.0852144523e-01	-5.7252550633e-03	-2.7728912005e-01	4.6461509221e-02	-3.7648874683e-03	4.4579065487e-02	-4.8343952956e-02
34                	2.9463732340e-02	-2.6371933658e-01	2.9318306892e-01	2.0667853077e-01	9.8147784607e-02	1.0853074617e-01	-5.1914807789e-03	-2.7845120275e-01	4.5551241424e-02	-3.7827173842e-03	4.3659882732e-02	-4.7442600116e-02
35                	2.9630565537e-02	-2.6265458745e-01	2.9228515298e-01	2.0618998735e-01	9.7958317644e-02	1.0823166970e-01	-5.1366760296e-03	-2.7746987021e-01	4.5798766114e-02	-3.7936169797e-03	4.3901957625e-02	-4.7695574604e-02
36                	2.9533055411e-02	-2.6318546021e-01	2.9271851562e-01	2.0680069514e-01	9.8783908049e-02	1.0801678709e-01	-4.6164395222e-03	-2.7795198792e-01	4.5695459893e-02	-3.7852654764e-03	4.3802827155e-02	-4.7588092632e-02
37                	2.9886746888e-02	-2.6201433420e-01	2.9190108109e-01	2.0623296919e-01	9.8507133170e-02	1.0772583602e-01	-4.6093514249e-03	-2.7695770765e-01	4.6144609764e-02	-3.7745220081e-03	4.4257348759e-02	-4.8031870768e-02
38                	2.9597460542e-02	-2.6276258301e-01	2.9236004355e-01	2.0692958610e-01	9.9256908811e-02	1.0767267728e-01	-4.2078842364e-03	-2.7756131328e-01	4.5757149136e-02	-3.7736932246e-03	4.3870302523e-02	-4.7643995748e-02
39                	2.9841411805e-02	-2.6117620715e-01	2.9101761896e-01	2.0603225121e-01	9.8821083731e-02	1.0721116748e-01	-4.1950418733e-03	-2.7609691305e-01	4.6076922556e-02	-3.7870589608e-03	4.4183393076e-02	-4.7970452037e-02
40                	2.9565599844e-02	-2.6147308044e-01	2.9103868029e-01	2.0628701741e-01	9.9414836088e-02	1.0687218132e-01	-3.7286726149e-03	-2.7625588036e-01	4.5705926743e-02	-3.7958525605e-03	4.3808000463e-02	-4.7603853023e-02
41                	2.9788916225e-02	-2.5947363351e-01	2.8926254973e-01	2.0504868976e-01	9.8784461530e-02	1.0626422823e-01	-3.7398833519e-03	-2.7436809162e-01	4.5984158883e-02	-3.7967250452e-03	4.4085796361e-02	-4.7882521406e-02
42                	2.9473511248e-02	-2.5976735149e-01	2.8924086274e-01	2.0527078204e-01	9.9336458742e-02	1.0593432330e-01	-3.2989322781e-03	-2.7450410711e-01	4.5580966454e-02	-3.7899274052e-03	4.3686002752e-02	-4.7475930157e-02
43                	2.9729769416e-02	-2.5755744263e-01	2.8728721205e-01	2.0386884567e-01	9.8619385924e-02	1.0524945975e-01	-3.3150369130e-03	-2.7242232734e-01	4.5909395788e-02	-3.7889907835e-03	4.4014900396e-02	-4.7803891180e-02
44                	2.9432957401e-02	-2.5742339623e-01	2.8685635363e-01	2.0371761670e-01	9.9007554425e-02	1.0471006227e-01	-2.8512539235e-03	-2.7213987493e-01	4.5513215722e-02	-3.7893023826e-03	4.3618564531e-02	-4.7407866913e-02
45                	2.9643972545e-02	-2.5483700320e-01	2.8448097575e-01	2.0199809303e-01	9.8176903598e-02	1.0382118943e-01	-2.8221429146e-03	-2.6965898947e-01	4.5780778184e-02	-3.7948272094e-03	4.3883364580e-02	-4.7678191789e-02
46                	2.9285403834e-02	-2.5443749906e-01	2.8372290290e-01	2.0162297185e-01	9.8457584572e-02	1.0316538727e-01	-2.3539013517e-03	-2.6908020098e-01	4.5303929541e-02	-3.7957474755e-03	4.3406055803e-02	-4.7201803279e-02
47                	2.9513108303e-02	-2.5158042560e-01	2.8109353390e-01	1.9965229927e-01	9.7494427865e-02	1.0215787141e-01	-2.3317217724e-03	-2.6633697975e-01	4.5612656473e-02	-3.7961313072e-03	4.3714590820e-02	-4.7510722127e-02
48                	2.9188146009e-02	-2.5087450131e-01	2.8006264732e-01	1.9894337426e-01	9.7623234902e-02	1.0132013936e-01	-1.8484522281e-03	-2.6546857431e-01	4.5185547494e-02	-3.7913570412e-03	4.3289868973e-02	-4.7081226014e-02
49                	2.9383787991e-02	-2.4758639912e-01	2.7697018711e-01	1.9663145924e-01	9.6474190698e-02	1.0015726854e-01	-1.8415389209e-03	-2.6227829311e-01	4.5445273685e-02	-3.7899528519e-03	4.3550297259e-02	-4.7340250111e-02
50                	2.8984503505e-02	-2.4675027860e-01	2.7573478211e-01	1.9580392398e-01	9.6524869132e-02	9.9279054843e-02	-1.3770928554e-03	-2.6124253035e-01	4.4898835151e-02	-3.7929678157e-03	4.3002351244e-02	-4.6795319059e-02
51                	2.9208343326e-02	-2.4339295165e-01	2.7260129498e-01	1.9339741579e-01	9.5322199720e-02	9.8075216065e-02	-1.3765081720e-03	-2.5799712331e-01	4.5206272537e-02	-3.7943518948e-03	4.3309096589e-02	-4.7103448484e-02
52                	2.8896156994e-02	-2.4221492548e-01	2.7111108248e-01	1.9229476056e-01	9.5187696228e-02	9.7107064330e-02	-9.5968405109e-04	-2.5666300398e-01	4.4809810236e-02	-3.7893692820e-03	4.2915125595e-02	-4.6704494877e-02
53                	2.9080725497e-02	-2.3863225417e-01	2.6771297966e-01	1.8970316415e-01	9.3855378030e-02	9.5847786124e-02	-9.9620404705e-04	-2.5317261692e-01	4.5054784008e-02	-3.7853233323e-03	4.3162122342e-02	-4.6947445674e-02
54                	2.8707065250e-02	-2.3772613131e-01	2.6643319656e-01	1.8873410535e-01	9.3770827576e-02	9.4963277774e-02	-5.9622509868e-04	-2.5207966393e-01	4.4548954128e-02	-3.7866631097e-03	4.2655622573e-02	-4.6442285682e-02
55                	2.8936396459e-02	-2.3411402234e-01	2.6305041879e-01	1.8613442562e-01	9.2352767888e-02	9.3781657734e-02	-7.1444492338e-04	-2.4858222057e-01	4.4862541337e-02	-3.7878904644e-03	4.2968596105e-02	-4.6756486569e-02
56                	2.8628810430e-02	-2.3311246066e-01	2.6174127109e-01	1.8511183706e-01	9.2177665137e-02	9.2934171923e-02	-3.7825339280e-04	-2.4742686588e-01	4.4446931218e-02	-3.7850309202e-03	4.2554415758e-02	-4.6339446678e-02
57                	2.8832136238e-02	-2.2967804087e-01	2.5851017711e-01	1.8260605105e-01	9.0793931423e-02	9.1812119623e-02	-5.0909409991e-04	-2.4409410899e-01	4.4731876570e-02	-3.7800772752e-03	4.2841837932e-02	-4.6621915208e-02
58                	2.8478065685e-02	-2.2882228875e-01	2.5730035443e-01	1.8169810479e-01	9.0625395045e-02	9.1072709742e-02	-2.2365734841e-04	-2.4306132159e-01	4.4264094880e-02	-3.7817975634e-03	4.2373196098e-02	-4.6154993661e-02
59                	2.8716760041e-02	-2.2555718145e-01	2.5427394149e-01	1.7929660345e-01	8.9248400627e-02	9.0048202819e-02	-3.9990109629e-04	-2.3991556147e-01	4.4585259337e-02	-3.7800117197e-03	4.2695253477e-02	-4.6475265197e-02
