# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 7.5000000000e+00
# lRef            : 1.0000000000e-01
# Aref            : 3.0000000000e-02
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	5.2342144013e-01	1.8278974952e-01	3.4063169061e-01	5.7125613756e-02	-1.2475983741e-01	1.8188545117e-01	-1.5332264429e-01	-7.8920970548e-02	7.7520037212e-01	1.0212285859e-03	7.7571098641e-01	-7.7468975782e-01
2                 	1.2660900621e-01	-2.1098796777e-01	3.3759697397e-01	1.9164733186e-01	6.8908349230e-02	1.2273898263e-01	-2.6915316699e-02	-2.7429247087e-01	1.8961086309e-01	-9.1349793188e-03	1.8504337343e-01	-1.9417835275e-01
3                 	-1.0417703002e-01	-3.0372674805e-01	1.9954971803e-01	1.7708828575e-01	1.3480341384e-01	4.2284871915e-02	4.6259270961e-02	-2.5163823304e-01	-1.5137449148e-01	-7.5346717718e-03	-1.5514182736e-01	1.4760715559e-01
4                 	-3.6261233667e-02	-8.9635759198e-02	5.3374525530e-02	5.4298106714e-02	2.3701014437e-02	3.0597092276e-02	-3.4480389195e-03	-7.1505142364e-02	-5.1285606528e-02	-2.5195521103e-04	-5.1411584133e-02	5.1159628922e-02
5                 	7.3257666755e-02	-8.1018556709e-02	1.5427622346e-01	8.5122388785e-02	2.9865544557e-03	8.2135834329e-02	-3.9574639937e-02	-1.1764739009e-01	1.1027330978e-01	-8.5624358709e-04	1.0984518799e-01	-1.1070143158e-01
6                 	8.2596856620e-02	-1.9768106112e-01	2.8027791774e-01	1.6922348642e-01	6.0884221362e-02	1.0833926506e-01	-2.3727521847e-02	-2.3897948943e-01	1.2360513880e-01	-5.0960114955e-03	1.2105713305e-01	-1.2615314455e-01
7                 	3.9162491174e-02	-2.0122819267e-01	2.4039068385e-01	1.5884120165e-01	7.4962355644e-02	8.3878846008e-02	-4.4582451819e-03	-2.2080943826e-01	5.9281829489e-02	-5.1082056220e-03	5.6727726678e-02	-6.1835932300e-02
8                 	2.1524979958e-02	-1.6600912291e-01	1.8753410287e-01	1.2933986821e-01	5.7015371137e-02	7.2324497076e-02	-7.6545629695e-03	-1.7677161289e-01	3.3465528176e-02	-3.1056490709e-03	3.1912703641e-02	-3.5018352712e-02
9                 	3.1958087131e-02	-1.8703829473e-01	2.1899638186e-01	1.4704853344e-01	5.8848405231e-02	8.8200128211e-02	-1.4675861490e-02	-2.0301733829e-01	4.9330845982e-02	-3.1522593135e-03	4.7754716325e-02	-5.0906975638e-02
10                	3.5816219866e-02	-2.1550617761e-01	2.5132239747e-01	1.6842018400e-01	7.4271057013e-02	9.4149126983e-02	-9.9390349850e-03	-2.3341428754e-01	5.5237852046e-02	-4.2320622315e-03	5.3121820930e-02	-5.7353883162e-02
11                	3.0976233510e-02	-1.9878789373e-01	2.2976412724e-01	1.5591629624e-01	7.3802996168e-02	8.2113300074e-02	-4.1551519529e-03	-2.1427601048e-01	4.7854745744e-02	-4.1884726240e-03	4.5760509432e-02	-4.9948982056e-02
12                	3.0556354827e-02	-1.9029374798e-01	2.2085010281e-01	1.5006814218e-01	6.8814172608e-02	8.1253969572e-02	-6.2198984819e-03	-2.0557192540e-01	4.7025702756e-02	-3.5348584887e-03	4.5258273511e-02	-4.8793132000e-02
13                	3.3725438056e-02	-2.0624618329e-01	2.3997162134e-01	1.6227016206e-01	7.0483658486e-02	9.1786503578e-02	-1.0651422546e-02	-2.2310890232e-01	5.1634501334e-02	-3.4701626545e-03	4.9899420007e-02	-5.3369582661e-02
14                	3.0932666864e-02	-2.2238231519e-01	2.5331498205e-01	1.7287900443e-01	7.7883853189e-02	9.4995151238e-02	-8.5556490246e-03	-2.3784864862e-01	4.7729115572e-02	-3.7819606137e-03	4.5838135265e-02	-4.9620095879e-02
15                	2.7930018479e-02	-2.1420228650e-01	2.4213230498e-01	1.6667870694e-01	7.8611668285e-02	8.8067038655e-02	-4.7276851851e-03	-2.2816729574e-01	4.3461611322e-02	-3.8569238187e-03	4.1533149413e-02	-4.5390073232e-02
16                	2.9462995784e-02	-2.0961681132e-01	2.3907980710e-01	1.6387770435e-01	7.7307854137e-02	8.6569850216e-02	-4.6309980398e-03	-2.2434830921e-01	4.5710563041e-02	-3.7443990541e-03	4.3838363514e-02	-4.7582762568e-02
17                	3.2265019188e-02	-2.1879060496e-01	2.5105562415e-01	1.7113971462e-01	7.7363062082e-02	9.3776652542e-02	-8.2067952304e-03	-2.3492311455e-01	4.9682041436e-02	-3.7385101613e-03	4.7812786355e-02	-5.1551296516e-02
18                	3.0139020763e-02	-2.3272412519e-01	2.6286314595e-01	1.8070428850e-01	8.1420740611e-02	9.9283547892e-02	-8.9314036404e-03	-2.4779363557e-01	4.6494714814e-02	-3.7810476382e-03	4.4604190995e-02	-4.8385238633e-02
19                	2.7263079951e-02	-2.3410519532e-01	2.6136827527e-01	1.8149096965e-01	8.3537349100e-02	9.7953620551e-02	-7.2081357257e-03	-2.4773673530e-01	4.2306994728e-02	-3.7212306109e-03	4.0446379423e-02	-4.4167610034e-02
20                	2.7772198166e-02	-2.3078725088e-01	2.5855944905e-01	1.7944610809e-01	8.4517927720e-02	9.4928180369e-02	-5.2051263242e-03	-2.4467334997e-01	4.3227540398e-02	-3.6536980694e-03	4.1400691364e-02	-4.5054389433e-02
21                	3.1287982661e-02	-2.2890413623e-01	2.6019211889e-01	1.7911746446e-01	8.3452459691e-02	9.5665004771e-02	-6.1062725400e-03	-2.4454812756e-01	4.8412662680e-02	-3.6939786340e-03	4.6565673363e-02	-5.0259651997e-02
22                	3.1649903673e-02	-2.3742891320e-01	2.6907881687e-01	1.8523872184e-01	8.5061527323e-02	1.0017719451e-01	-7.5578335949e-03	-2.5325386504e-01	4.8812249373e-02	-3.7846430132e-03	4.6919927867e-02	-5.0704570880e-02
23                	2.9287430926e-02	-2.4569561008e-01	2.7498304100e-01	1.9103978952e-01	8.7130398172e-02	1.0390939135e-01	-8.3894965889e-03	-2.6033932554e-01	4.5207701758e-02	-3.8054602499e-03	4.3304971633e-02	-4.7110431883e-02
24                	2.7084715141e-02	-2.5051775879e-01	2.7760247393e-01	1.9430857357e-01	8.9737109251e-02	1.0457146432e-01	-7.4171775359e-03	-2.6406011636e-01	4.2048063538e-02	-3.7468702361e-03	4.0174628420e-02	-4.3921498656e-02
25                	2.8430944115e-02	-2.5036943512e-01	2.7880037923e-01	1.9498583014e-01	9.0515807912e-02	1.0447002223e-01	-6.9771071571e-03	-2.6458490718e-01	4.4125267537e-02	-3.7002601426e-03	4.2275137466e-02	-4.5975397609e-02
26                	3.0279421521e-02	-2.5129662286e-01	2.8157604438e-01	1.9620246955e-01	9.1746547935e-02	1.0445592161e-01	-6.3546868387e-03	-2.6643633362e-01	4.6888702523e-02	-3.7170158021e-03	4.5030194622e-02	-4.8747210424e-02
27                	3.1113221613e-02	-2.5240112092e-01	2.8351434253e-01	1.9751068625e-01	9.2032726922e-02	1.0547795933e-01	-6.7226162026e-03	-2.6795773172e-01	4.8012086825e-02	-3.7581352399e-03	4.6133019205e-02	-4.9891154445e-02
28                	2.9679568279e-02	-2.5562170998e-01	2.8530127826e-01	1.9967438460e-01	9.3442831473e-02	1.0623155313e-01	-6.3943608281e-03	-2.7046149412e-01	4.5832282429e-02	-3.7842520544e-03	4.3940156402e-02	-4.7724408457e-02
29                	2.8941062425e-02	-2.5791220600e-01	2.8685326843e-01	2.0161299370e-01	9.4173484489e-02	1.0743950922e-01	-6.6330123631e-03	-2.7238273721e-01	4.4700855451e-02	-3.7813064941e-03	4.2810202203e-02	-4.6591508698e-02
30                	2.8804479919e-02	-2.6131588619e-01	2.9012036611e-01	2.0423620237e-01	9.5844382924e-02	1.0839181945e-01	-6.2737182626e-03	-2.7571812615e-01	4.4600342248e-02	-3.7638076309e-03	4.2718438433e-02	-4.6482246064e-02
31                	2.9842689296e-02	-2.6145215785e-01	2.9129484715e-01	2.0491114685e-01	9.6164597755e-02	1.0874654909e-01	-6.2909756700e-03	-2.7637350250e-01	4.6156126929e-02	-3.7540816415e-03	4.4279086108e-02	-4.8033167750e-02
32                	3.0029660278e-02	-2.6294907336e-01	2.9297873364e-01	2.0624146752e-01	9.7352775842e-02	1.0888869168e-01	-5.7679579175e-03	-2.7796390350e-01	4.6435657327e-02	-3.7532216565e-03	4.4559046499e-02	-4.8312268155e-02
33                	3.0106882979e-02	-2.6300359696e-01	2.9311047994e-01	2.0660463841e-01	9.7564548047e-02	1.0904009037e-01	-5.7377711593e-03	-2.7805703845e-01	4.6452044618e-02	-3.7651740369e-03	4.4569457599e-02	-4.8334631636e-02
34                	2.9468863429e-02	-2.6447641859e-01	2.9394528201e-01	2.0758550292e-01	9.8563016683e-02	1.0902248623e-01	-5.2297347752e-03	-2.7921085030e-01	4.5544060784e-02	-3.7834619802e-03	4.3652329794e-02	-4.7435791774e-02
35                	2.9648583405e-02	-2.6347300050e-01	2.9312158390e-01	2.0722764654e-01	9.8460793538e-02	1.0876685300e-01	-5.1530297307e-03	-2.7829729220e-01	4.5810500184e-02	-3.7934709770e-03	4.3913764696e-02	-4.7707235673e-02
36                	2.9567082490e-02	-2.6403075276e-01	2.9359783525e-01	2.0777632083e-01	9.9242960899e-02	1.0853335993e-01	-4.6451995135e-03	-2.7881429400e-01	4.5722677995e-02	-3.7854508114e-03	4.3829952589e-02	-4.7615403400e-02
37                	2.9887260274e-02	-2.6294018833e-01	2.9282744861e-01	2.0736563513e-01	9.9078402699e-02	1.0828723243e-01	-4.6044148641e-03	-2.7788381847e-01	4.6136695014e-02	-3.7748710803e-03	4.4249259474e-02	-4.8024130554e-02
38                	2.9628139289e-02	-2.6374517249e-01	2.9337331178e-01	2.0795781972e-01	9.9745008046e-02	1.0821281167e-01	-4.2339018123e-03	-2.7855924214e-01	4.5786703355e-02	-3.7745149918e-03	4.3899445859e-02	-4.7673960850e-02
39                	2.9846921152e-02	-2.6214220024e-01	2.9198912139e-01	2.0712856451e-01	9.9351395356e-02	1.0777716916e-01	-4.2128869007e-03	-2.7706566081e-01	4.6063846396e-02	-3.7872353373e-03	4.4170228727e-02	-4.7957464064e-02
40                	2.9587570664e-02	-2.6245988698e-01	2.9204745765e-01	2.0737034162e-01	9.9930372153e-02	1.0743996946e-01	-3.7547986551e-03	-2.7725367231e-01	4.5716214206e-02	-3.7961644181e-03	4.3818131997e-02	-4.7614296415e-02
41                	2.9786130111e-02	-2.6061766872e-01	2.9040379883e-01	2.0629918872e-01	9.9432875263e-02	1.0686631346e-01	-3.7167190976e-03	-2.7551073378e-01	4.5970723528e-02	-3.7970653258e-03	4.4072190865e-02	-4.7869256191e-02
42                	2.9499480394e-02	-2.6079279854e-01	2.9029227893e-01	2.0631353310e-01	9.9825898256e-02	1.0648763485e-01	-3.3308682959e-03	-2.7554253873e-01	4.5599782096e-02	-3.7906416449e-03	4.3704461274e-02	-4.7495102919e-02
43                	2.9732944217e-02	-2.5873024988e-01	2.8846319410e-01	2.0506529348e-01	9.9237486348e-02	1.0582780713e-01	-3.2951603903e-03	-2.7359672199e-01	4.5912506867e-02	-3.7892341677e-03	4.4017889783e-02	-4.7807123951e-02
44                	2.9470551047e-02	-2.5851039472e-01	2.8798094577e-01	2.0484996116e-01	9.9578272306e-02	1.0527168886e-01	-2.8467082758e-03	-2.7324567025e-01	4.5549400081e-02	-3.7900644007e-03	4.3654367881e-02	-4.7444432281e-02
45                	2.9629788885e-02	-2.5592590978e-01	2.8555569866e-01	2.0317383421e-01	9.8783100673e-02	1.0439073354e-01	-2.8038164336e-03	-2.7074080422e-01	4.5737712254e-02	-3.7958268584e-03	4.3839798825e-02	-4.7635625683e-02
46                	2.9282052379e-02	-2.5545285631e-01	2.8473490869e-01	2.0267998519e-01	9.8975599408e-02	1.0370438578e-01	-2.3643931855e-03	-2.7009388250e-01	4.5274515925e-02	-3.7970757720e-03	4.3375978039e-02	-4.7173053812e-02
47                	2.9528011612e-02	-2.5278121463e-01	2.8230922624e-01	2.0085742456e-01	9.8134409774e-02	1.0272301479e-01	-2.2943025054e-03	-2.6754522043e-01	4.5628118840e-02	-3.7965603711e-03	4.3729838655e-02	-4.7526399026e-02
48                	2.9243323525e-02	-2.5181847575e-01	2.8106179927e-01	1.9998935690e-01	9.8143207760e-02	1.0184614914e-01	-1.8514706889e-03	-2.6644013751e-01	4.5259031717e-02	-3.7924109309e-03	4.3362826252e-02	-4.7155237183e-02
49                	2.9354826338e-02	-2.4869369143e-01	2.7804851777e-01	1.9779818868e-01	9.7120664290e-02	1.0067752439e-01	-1.7784300503e-03	-2.6337110460e-01	4.5396519583e-02	-3.7911430912e-03	4.3500948038e-02	-4.7292091129e-02
50                	2.8982019308e-02	-2.4771568335e-01	2.7669770266e-01	1.9678566886e-01	9.7048705292e-02	9.9736963564e-02	-1.3441291360e-03	-2.6220669301e-01	4.4878180985e-02	-3.7940808491e-03	4.2981140561e-02	-4.6775221410e-02
51                	2.9214835513e-02	-2.4438636460e-01	2.7360120011e-01	1.9440027738e-01	9.5877138273e-02	9.8523139106e-02	-1.3230004163e-03	-2.5899378235e-01	4.5223905375e-02	-3.7952129374e-03	4.3326298906e-02	-4.7121511843e-02
52                	2.8914010417e-02	-2.4306378826e-01	2.7197779868e-01	1.9321647584e-01	9.5702444062e-02	9.7514031782e-02	-9.0579385984e-04	-2.5752079347e-01	4.4825148858e-02	-3.7907729951e-03	4.2929762361e-02	-4.6720535356e-02
53                	2.9062981314e-02	-2.3966936339e-01	2.6873234470e-01	1.9072877515e-01	9.4485718401e-02	9.6243056751e-02	-8.7866917479e-04	-2.5420085405e-01	4.5017219777e-02	-3.7865398527e-03	4.3123949851e-02	-4.6910489704e-02
54                	2.8703504439e-02	-2.3841240546e-01	2.6711590990e-01	1.8945757755e-01	9.4167706664e-02	9.5289870883e-02	-5.6108210944e-04	-2.5276415768e-01	4.4527182153e-02	-3.7879156225e-03	4.2633224342e-02	-4.6421139964e-02
55                	2.8908246595e-02	-2.3501634910e-01	2.6392459570e-01	1.8699942593e-01	9.2868987929e-02	9.4130438000e-02	-6.3072503568e-04	-2.4947047240e-01	4.4831303601e-02	-3.7890793344e-03	4.2936763933e-02	-4.6725843268e-02
56                	2.8656112675e-02	-2.3382141301e-01	2.6247752569e-01	1.8586004326e-01	9.2600871114e-02	9.3259172147e-02	-3.2915051629e-04	-2.4814946935e-01	4.4498775241e-02	-3.7865837796e-03	4.2605483351e-02	-4.6392067131e-02
57                	2.8819480199e-02	-2.3053141715e-01	2.5935089735e-01	1.8342478689e-01	9.1297380582e-02	9.2127406311e-02	-4.1501286437e-04	-2.4494115725e-01	4.4709110596e-02	-3.7809896430e-03	4.2818615775e-02	-4.6599605418e-02
58                	2.8472071851e-02	-2.2953406786e-01	2.5800613971e-01	1.8235765512e-01	9.1015871576e-02	9.1341783543e-02	-1.6295598339e-04	-2.4377010378e-01	4.4236080196e-02	-3.7828307150e-03	4.2344664839e-02	-4.6127495554e-02
59                	2.8705569711e-02	-2.2639068579e-01	2.5509625550e-01	1.8004153616e-01	8.9711474407e-02	9.0330061753e-02	-3.0929367302e-04	-2.4074347064e-01	4.4566773502e-02	-3.7805986316e-03	4.2676474186e-02	-4.6457072818e-02
60                	2.8473294695e-02	-2.2545383278e-01	2.5392712747e-01	1.7906046818e-01	8.9432791956e-02	8.9627676221e-02	-9.7442132513e-05	-2.3969048012e-01	4.4278634590e-02	-3.7781581521e-03	4.2389555514e-02	-4.6167713666e-02
61                	2.8637912561e-02	-2.2248248294e-01	2.5112039550e-01	1.7687456550e-01	8.8199957949e-02	8.8674607547e-02	-2.3732479922e-04	-2.3680143922e-01	4.4493250049e-02	-3.7734136800e-03	4.2606543209e-02	-4.6379956889e-02
62                	2.8316428691e-02	-2.2185815628e-01	2.5017458497e-01	1.7607684565e-01	8.7995058173e-02	8.8081787476e-02	-4.3364651343e-05	-2.3601637062e-01	4.4044120078e-02	-3.7749999113e-03	4.2156620123e-02	-4.5931620034e-02
63                	2.8553046116e-02	-2.1909384771e-01	2.4764689382e-01	1.7403700846e-01	8.6774480905e-02	8.7262527559e-02	-2.4402332718e-04	-2.3337037076e-01	4.4373784128e-02	-3.7753829420e-03	4.2486092657e-02	-4.6261475599e-02
64                	2.8330339790e-02	-2.1847883155e-01	2.4680917134e-01	1.7335272443e-01	8.6598007611e-02	8.6754716816e-02	-7.8354602703e-05	-2.3264400145e-01	4.4099840477e-02	-3.7716349386e-03	4.2214023008e-02	-4.5985657947e-02
65                	2.8517090356e-02	-2.1584261747e-01	2.4435970782e-01	1.7142148135e-01	8.5465926175e-02	8.5955555171e-02	-2.4481449806e-04	-2.3010116264e-01	4.4333972103e-02	-3.7696383520e-03	4.2449152927e-02	-4.6218791279e-02
66                	2.8211863627e-02	-2.1547612094e-01	2.4368798457e-01	1.7085020007e-01	8.5359456493e-02	8.5490743576e-02	-6.5643541695e-05	-2.2958205276e-01	4.3903774620e-02	-3.7674067955e-03	4.2020071222e-02	-4.5787478018e-02
67                	2.8443562300e-02	-2.1283377180e-01	2.4127733410e-01	1.6898027528e-01	8.4200039989e-02	8.4780235289e-02	-2.9009764997e-04	-2.2705555295e-01	4.4239378284e-02	-3.7698311819e-03	4.2354462693e-02	-4.6124293874e-02
68                	2.8213193808e-02	-2.1260188021e-01	2.4081507401e-01	1.6857597354e-01	8.4159396747e-02	8.4416576796e-02	-1.2859002448e-04	-2.2670847711e-01	4.3922317348e-02	-3.7655712809e-03	4.2039531707e-02	-4.5805102988e-02
69                	2.8440178539e-02	-2.1017966456e-01	2.3861984310e-01	1.6685599827e-01	8.3076767651e-02	8.3779230617e-02	-3.5123148290e-04	-2.2439975383e-01	4.4233349048e-02	-3.7637097346e-03	4.2351494180e-02	-4.6115203915e-02
70                	2.8133589584e-02	-2.1021233877e-01	2.3834592835e-01	1.6661252398e-01	8.3125102165e-02	8.3487421811e-02	-1.8115982316e-04	-2.2427913356e-01	4.3805503431e-02	-3.7610630066e-03	4.1924971928e-02	-4.5686034934e-02
71                	2.8389719476e-02	-2.0789829759e-01	2.3628801707e-01	1.6499515720e-01	8.2076869438e-02	8.2918287758e-02	-4.2070916018e-04	-2.2209315733e-01	4.4169315141e-02	-3.7644772110e-03	4.2287076536e-02	-4.6051553747e-02
72                	2.8164038342e-02	-2.0793380623e-01	2.3609784458e-01	1.6478537915e-01	8.2103168847e-02	8.2682210307e-02	-2.8952072990e-04	-2.2201582541e-01	4.3853999839e-02	-3.7611926550e-03	4.1973403511e-02	-4.5734596166e-02
73                	2.8381066024e-02	-2.0575116215e-01	2.3413222817e-01	1.6328920910e-01	8.1129911654e-02	8.2159297447e-02	-5.1469289628e-04	-2.1994169516e-01	4.4162477084e-02	-3.7583017810e-03	4.2283326194e-02	-4.6041627975e-02
74                	2.8105230277e-02	-2.0611299676e-01	2.3421822703e-01	1.6328679074e-01	8.1290729431e-02	8.1996061309e-02	-3.5266593937e-04	-2.2016561190e-01	4.3767699009e-02	-3.7570508103e-03	4.1889173604e-02	-4.5646224415e-02
75                	2.8360694573e-02	-2.0397622251e-01	2.3233691709e-01	1.6181541528e-01	8.0282527635e-02	8.1532887647e-02	-6.2518000572e-04	-2.1815656980e-01	4.4122895226e-02	-3.7592257486e-03	4.2243282351e-02	-4.6002508100e-02
76                	2.8110459615e-02	-2.0435459585e-01	2.3246505547e-01	1.6191008607e-01	8.0489726451e-02	8.1420359624e-02	-4.6531658653e-04	-2.1840982566e-01	4.3770788331e-02	-3.7554145778e-03	4.1893081042e-02	-4.5648495619e-02
77                	2.8366055586e-02	-2.0239631385e-01	2.3076236943e-01	1.6060742815e-01	7.9609344489e-02	8.0998083656e-02	-6.9436958365e-04	-2.1657934164e-01	4.4122393770e-02	-3.7537991118e-03	4.2245494214e-02	-4.5999293326e-02
78                	2.8094710765e-02	-2.0279440232e-01	2.3088911309e-01	1.6068240468e-01	7.9777395321e-02	8.0905009356e-02	-5.6380701777e-04	-2.1684175770e-01	4.3751882213e-02	-3.7521256433e-03	4.1875819391e-02	-4.5627945034e-02
79                	2.8327191922e-02	-2.0089728687e-01	2.2922447880e-01	1.5943546178e-01	7.8906402716e-02	8.0529059067e-02	-8.1132817554e-04	-2.1506088283e-01	4.4068391844e-02	-3.7536295855e-03	4.2191577051e-02	-4.5945206637e-02
80                	2.8103619555e-02	-2.0152866553e-01	2.2963228509e-01	1.5971078545e-01	7.9198803654e-02	8.0511981796e-02	-6.5658907104e-04	-2.1558047531e-01	4.3744625497e-02	-3.7500915506e-03	4.1869579722e-02	-4.5619671272e-02
81                	2.8345414828e-02	-1.9962443916e-01	2.2796985399e-01	1.5846307426e-01	7.8319908458e-02	8.0143165804e-02	-9.1162867311e-04	-2.1379714658e-01	4.4067926878e-02	-3.7491998296e-03	4.2193326964e-02	-4.5942526793e-02
82                	2.8062404881e-02	-2.0034582330e-01	2.2840822818e-01	1.5879104410e-01	7.8664360602e-02	8.0126683494e-02	-7.3116144596e-04	-2.1437702574e-01	4.3683673520e-02	-3.7494790711e-03	4.1808933984e-02	-4.5558413055e-02
83                	2.8344680415e-02	-1.9850337796e-01	2.2684805837e-01	1.5759927345e-01	7.7813058385e-02	7.9786215069e-02	-9.8657834195e-04	-2.1267571817e-01	4.4075213733e-02	-3.7516971962e-03	4.2199365135e-02	-4.5951062332e-02
84                	2.8092201557e-02	-1.9922326601e-01	2.2731546757e-01	1.5794414990e-01	7.8171548469e-02	7.9772601434e-02	-8.0052648262e-04	-2.1326936679e-01	4.3723190541e-02	-3.7487030336e-03	4.1848839024e-02	-4.5597542058e-02
85                	2.8328291201e-02	-1.9731223378e-01	2.2564052498e-01	1.5675748246e-01	7.7345617140e-02	7.9411865321e-02	-1.0331240905e-03	-2.1147637938e-01	4.4038590763e-02	-3.7485514069e-03	4.2164315059e-02	-4.5912866466e-02
86                	2.8057120101e-02	-1.9816012256e-01	2.2621724267e-01	1.5714449790e-01	7.7715033257e-02	7.9429464642e-02	-8.5721569226e-04	-2.1218868262e-01	4.3658268171e-02	-3.7471468009e-03	4.1784694770e-02	-4.5531841571e-02
87                	2.8311940494e-02	-1.9640971965e-01	2.2472166014e-01	1.5601811866e-01	7.6898892529e-02	7.9119226128e-02	-1.1101667993e-03	-2.1056568990e-01	4.4004006951e-02	-3.7503108365e-03	4.2128851532e-02	-4.5879162369e-02
88                	2.8080209642e-02	-1.9721117857e-01	2.2529138822e-01	1.5647119698e-01	7.7323634851e-02	7.9147562129e-02	-9.1196363898e-04	-2.1125128339e-01	4.3688130660e-02	-3.7469865727e-03	4.1814637374e-02	-4.5561623947e-02
89                	2.8338532029e-02	-1.9544626922e-01	2.2378480125e-01	1.5535424438e-01	7.6535636394e-02	7.8818607982e-02	-1.1414857938e-03	-2.0961553523e-01	4.4037874741e-02	-3.7473795936e-03	4.2164184944e-02	-4.5911564538e-02
90                	2.8049484478e-02	-1.9633070240e-01	2.2438018688e-01	1.5576842163e-01	7.6928196546e-02	7.8840225080e-02	-9.5601426717e-04	-2.1035544464e-01	4.3643456468e-02	-3.7453382695e-03	4.1770787333e-02	-4.5516125602e-02
91                	2.8307747029e-02	-1.9454972653e-01	2.2285747356e-01	1.5469191739e-01	7.6156303891e-02	7.8535613494e-02	-1.1896548017e-03	-2.0870360005e-01	4.4004465292e-02	-3.7480379654e-03	4.2130446310e-02	-4.5878484275e-02
92                	2.8072715895e-02	-1.9545140400e-01	2.2352411989e-01	1.5515685630e-01	7.6580696976e-02	7.8576159322e-02	-9.9773117293e-04	-2.0948776194e-01	4.3647478077e-02	-3.7444311526e-03	4.1775262501e-02	-4.5519693653e-02
93                	2.8311051695e-02	-1.9377445703e-01	2.2208550872e-01	1.5410187510e-01	7.5820868755e-02	7.8281006342e-02	-1.2300687934e-03	-2.0792998287e-01	4.3986797734e-02	-3.7456430398e-03	4.2113976214e-02	-4.5859619253e-02
94                	2.8028755110e-02	-1.9481061509e-01	2.2283937020e-01	1.5466505685e-01	7.6323331271e-02	7.8341725581e-02	-1.0091971550e-03	-2.0882499264e-01	4.3607909806e-02	-3.7445682528e-03	4.1735625680e-02	-4.5480193933e-02
95                	2.8312090503e-02	-1.9294221254e-01	2.2125430304e-01	1.5350817319e-01	7.5485691892e-02	7.8022481300e-02	-1.2683947044e-03	-2.0709825779e-01	4.3993981532e-02	-3.7459274370e-03	4.2121017813e-02	-4.5866945250e-02
96                	2.8063511581e-02	-1.9393103015e-01	2.2199454173e-01	1.5402641301e-01	7.5954584420e-02	7.8071828587e-02	-1.0586220835e-03	-2.0796278594e-01	4.3637881970e-02	-3.7447152409e-03	4.1765524349e-02	-4.5510239590e-02
97                	2.8303711705e-02	-1.9228477031e-01	2.2058848202e-01	1.5303777198e-01	7.5253159692e-02	7.7784612290e-02	-1.2657262994e-03	-2.0643662617e-01	4.3975437879e-02	-3.7440538592e-03	4.2103410949e-02	-4.5847464808e-02
98                	2.8036225763e-02	-1.9334127975e-01	2.2137750551e-01	1.5358758560e-01	7.5732708484e-02	7.7854877117e-02	-1.0610843169e-03	-2.0735939263e-01	4.3603443298e-02	-3.7434654521e-03	4.1731710572e-02	-4.5475176024e-02
99                	2.8293206073e-02	-1.9161729158e-01	2.1991049765e-01	1.5249967036e-01	7.4915402848e-02	7.7584267515e-02	-1.3344323337e-03	-2.0576389462e-01	4.3953544810e-02	-3.7458983285e-03	4.2080595646e-02	-4.5826493974e-02
100               	2.8038097381e-02	-1.9282840039e-01	2.2086649777e-01	1.5320026652e-01	7.5507168269e-02	7.7693098255e-02	-1.0929649929e-03	-2.0684744908e-01	4.3595374826e-02	-3.7437925859e-03	4.1723478533e-02	-4.5467271119e-02
101               	2.8299172195e-02	-1.9114677074e-01	2.1944594293e-01	1.5217554413e-01	7.4767513863e-02	7.7408030269e-02	-1.3202582028e-03	-2.0529635683e-01	4.3954505604e-02	-3.7435454121e-03	4.2082732898e-02	-4.5826278310e-02
102               	2.8040264686e-02	-1.9220573663e-01	2.2024600132e-01	1.5271776736e-01	7.5223265980e-02	7.7494501377e-02	-1.1356176987e-03	-2.0622586897e-01	4.3610491741e-02	-3.7418115013e-03	4.1739585990e-02	-4.5481397491e-02
103               	2.8286033277e-02	-1.9063182283e-01	2.1891785610e-01	1.5178315685e-01	7.4520470503e-02	7.7262686351e-02	-1.3711079238e-03	-2.0477483946e-01	4.3948681221e-02	-3.7438377190e-03	4.2076762362e-02	-4.5820600081e-02
104               	2.8041893746e-02	-1.9186617714e-01	2.1990807089e-01	1.5246308472e-01	7.5080462042e-02	7.7382622679e-02	-1.1510803186e-03	-2.0588712402e-01	4.3589945906e-02	-3.7424192251e-03	4.1718736293e-02	-4.5461155518e-02
105               	2.8301705527e-02	-1.9027435876e-01	2.1857606429e-01	1.5148347936e-01	7.4358858969e-02	7.7124620395e-02	-1.3828807130e-03	-2.0442521152e-01	4.3957997615e-02	-3.7427214866e-03	4.2086636872e-02	-4.5829358359e-02
