# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                  5.4109266836e-01 5.8903515165e-02 -1.0543227251e-03 5.0124749247e-01 5.9093852807e-02 -1.0597866716e-03 3.9845175886e-02 -1.9033764224e-04 5.4639465095e-06
2                  1.3082050689e-01 1.9765064862e-01 9.4414228049e-03 1.0007369737e-01 1.9609839403e-01 9.4622409620e-03 3.0746809515e-02 1.5522545947e-03 -2.0818157040e-05
3                  -1.0802237707e-01 1.8249424045e-01 7.7875045715e-03 -1.3368358236e-01 1.8159302714e-01 7.8631917577e-03 2.5661205286e-02 9.0121331241e-04 -7.5687186141e-05
4                  -3.7440609722e-02 5.7975683279e-02 2.6015788434e-04 -6.1554741531e-02 5.8251599162e-02 3.3891214992e-04 2.4114131809e-02 -2.7591588296e-04 -7.8754265581e-05
5                  7.5835676867e-02 8.7595290716e-02 8.8444301296e-04 5.3490380831e-02 8.7680803775e-02 9.1103092571e-04 2.2345296036e-02 -8.5513059118e-05 -2.6587912756e-05
6                  8.5261323654e-02 1.7379070199e-01 5.2670099248e-03 6.4956599325e-02 1.7337150795e-01 5.2868421625e-03 2.0304724329e-02 4.1919403581e-04 -1.9832237750e-05
7                  4.0330240588e-02 1.6389070843e-01 5.2790585016e-03 2.2042801875e-02 1.6338689234e-01 5.3316376106e-03 1.8287438714e-02 5.0381608465e-04 -5.2579108932e-05
8                  2.2156309849e-02 1.3420847578e-01 3.2091620025e-03 5.4235496470e-03 1.3377452283e-01 3.2681522669e-03 1.6732760202e-02 4.3395295423e-04 -5.8990264401e-05
9                  3.3016318304e-02 1.5211531109e-01 3.2583449011e-03 1.7538964027e-02 1.5177096398e-01 3.3032792820e-03 1.5477354278e-02 3.4434710316e-04 -4.4934380912e-05
10                 3.6966757662e-02 1.7397871542e-01 4.3751912161e-03 2.2547434538e-02 1.7359916669e-01 4.4181306026e-03 1.4419323124e-02 3.7954872635e-04 -4.2939386546e-05
11                 3.1974094913e-02 1.6089085511e-01 4.3300334220e-03 1.8283440115e-02 1.6055118490e-01 4.3801947285e-03 1.3690654798e-02 3.3967021104e-04 -5.0161306500e-05
12                 3.1550073818e-02 1.5486534091e-01 3.6541173280e-03 1.8391662923e-02 1.5444941947e-01 3.7059490443e-03 1.3158410895e-02 4.1592144112e-04 -5.1831716251e-05
13                 3.4823081530e-02 1.6732352187e-01 3.5873145907e-03 2.2232813205e-02 1.6693109235e-01 3.6399670226e-03 1.2590268325e-02 3.9242951469e-04 -5.2652431927e-05
14                 3.1919571287e-02 1.7853986654e-01 3.9097851364e-03 1.9903392678e-02 1.7807627271e-01 3.9665045407e-03 1.2016178610e-02 4.6359382624e-04 -5.6719404372e-05
15                 2.8843133768e-02 1.7204565725e-01 3.9876070661e-03 1.7197225409e-02 1.7164528976e-01 4.0482109423e-03 1.1645908359e-02 4.0036748568e-04 -6.0603876145e-05
16                 3.0435524445e-02 1.6899212826e-01 3.8707430573e-03 1.8948420038e-02 1.6855898313e-01 3.9334506987e-03 1.1487104407e-02 4.3314513190e-04 -6.2707641423e-05
17                 3.3342146623e-02 1.7599359175e-01 3.8640926308e-03 2.2083942713e-02 1.7559665928e-01 3.9295980982e-03 1.1258203910e-02 3.9693246798e-04 -6.5505467389e-05
18                 3.1093387193e-02 1.8624768070e-01 3.9080418781e-03 2.0242389909e-02 1.8577004239e-01 3.9782905643e-03 1.0850997284e-02 4.7763830709e-04 -7.0248686245e-05
19                 2.8161908411e-02 1.8725177997e-01 3.8472749351e-03 1.7690433465e-02 1.8680854317e-01 3.9201784293e-03 1.0471474946e-02 4.4323680129e-04 -7.2903494128e-05
20                 2.8684481503e-02 1.8517091754e-01 3.7778164277e-03 1.8337858106e-02 1.8468961168e-01 3.8507611259e-03 1.0346623397e-02 4.8130586252e-04 -7.2944698115e-05
21                 3.2363233358e-02 1.8443198202e-01 3.8191460219e-03 2.2020129614e-02 1.8399814107e-01 3.8933281514e-03 1.0343103744e-02 4.3384094666e-04 -7.4182129456e-05
22                 3.2691783956e-02 1.9069080727e-01 3.9117689076e-03 2.2468471749e-02 1.9020068484e-01 3.9902238324e-03 1.0223312207e-02 4.9012242549e-04 -7.8454924775e-05
23                 3.0259591047e-02 1.9649856922e-01 3.9331844333e-03 2.0395820668e-02 1.9604547939e-01 4.0166743444e-03 9.8637703788e-03 4.5308983454e-04 -8.3489911142e-05
24                 2.7968008729e-02 2.0011419456e-01 3.8728614959e-03 1.8433853696e-02 1.9960309525e-01 3.9588151082e-03 9.5341550334e-03 5.1109931005e-04 -8.5953612260e-05
25                 2.9386860457e-02 2.0080113271e-01 3.8250675116e-03 1.9949999855e-02 2.0032755376e-01 3.9112520208e-03 9.4368606023e-03 4.7357894253e-04 -8.6184509187e-05
26                 3.1260729486e-02 2.0228572760e-01 3.8424323345e-03 2.1791553287e-02 2.0177304871e-01 3.9296608915e-03 9.4691761986e-03 5.1267889372e-04 -8.7228556951e-05
27                 3.2154446223e-02 2.0327833173e-01 3.8848913341e-03 2.2724871789e-02 2.0281449659e-01 3.9746579228e-03 9.4295744340e-03 4.6383514335e-04 -8.9766588798e-05
28                 3.0675284568e-02 2.0544847177e-01 3.9108556954e-03 2.1421188112e-02 2.0493355444e-01 4.0046942375e-03 9.2540964563e-03 5.1491732219e-04 -9.3838542180e-05
29                 2.9896263843e-02 2.0739728555e-01 3.9082095869e-03 2.0844122461e-02 2.0691497154e-01 4.0052962901e-03 9.0521413818e-03 4.8231400449e-04 -9.7086703234e-05
30                 2.9741824080e-02 2.1030379831e-01 3.8904014968e-03 2.0805361613e-02 2.0977504492e-01 3.9897303846e-03 8.9364624669e-03 5.2875338444e-04 -9.9328887837e-05
31                 3.0834772871e-02 2.1083242452e-01 3.8801155164e-03 2.1941385743e-02 2.1034889553e-01 3.9809837020e-03 8.8933871272e-03 4.8352899040e-04 -1.0086818560e-04
32                 3.1014327002e-02 2.1225143478e-01 3.8788519717e-03 2.2147763369e-02 2.1172428748e-01 3.9819955066e-03 8.8665636334e-03 5.2714729753e-04 -1.0314353492e-04
33                 3.1114968809e-02 2.1249899935e-01 3.8913641567e-03 2.2310874580e-02 2.1200446895e-01 3.9970506659e-03 8.8040942295e-03 4.9453040633e-04 -1.0568650916e-04
34                 3.0453529599e-02 2.1362163767e-01 3.9097930463e-03 2.1732659242e-02 2.1308174419e-01 4.0186152935e-03 8.7208703570e-03 5.3989347430e-04 -1.0882224714e-04
35                 3.0625967347e-02 2.1311668223e-01 3.9210588001e-03 2.2000181218e-02 2.1261193733e-01 4.0318874003e-03 8.6257861300e-03 5.0474489883e-04 -1.1082860026e-04
36                 3.0525181491e-02 2.1374790600e-01 3.9124267385e-03 2.1956684939e-02 2.1319903597e-01 4.0258866300e-03 8.5684965517e-03 5.4887002568e-04 -1.1345989157e-04
37                 3.0890754791e-02 2.1316110800e-01 3.9013223568e-03 2.2362159179e-02 2.1264347683e-01 4.0168944842e-03 8.5285956119e-03 5.1763116414e-04 -1.1557212737e-04
38                 3.0591750232e-02 2.1388112688e-01 3.9004657314e-03 2.2093339509e-02 2.1332390248e-01 4.0187382011e-03 8.4984107230e-03 5.5722439883e-04 -1.1827246972e-04
39                 3.0843896732e-02 2.1295364715e-01 3.9142804728e-03 2.2395323980e-02 2.1243298986e-01 4.0347202839e-03 8.4485727523e-03 5.2065728819e-04 -1.2043981112e-04
40                 3.0558819214e-02 2.1321697190e-01 3.9233694825e-03 2.2152553233e-02 2.1265680449e-01 4.0463664872e-03 8.4062659806e-03 5.6016741183e-04 -1.2299700467e-04
41                 3.0789637630e-02 2.1193704419e-01 3.9242712772e-03 2.2416329021e-02 2.1140500609e-01 4.0490895564e-03 8.3733086084e-03 5.3203809993e-04 -1.2481827925e-04
42                 3.0463637016e-02 2.1216659737e-01 3.9172452789e-03 2.2117088317e-02 2.1159407370e-01 4.0445348792e-03 8.3465486996e-03 5.7252367539e-04 -1.2728960020e-04
43                 3.0728503857e-02 2.1071756471e-01 3.9162771926e-03 2.2411694832e-02 2.1018182356e-01 4.0453329203e-03 8.3168090255e-03 5.3574114401e-04 -1.2905572768e-04
44                 3.0421720814e-02 2.1056125538e-01 3.9165992595e-03 2.2132147977e-02 2.0998634362e-01 4.0480371130e-03 8.2895728362e-03 5.7491176017e-04 -1.3143785344e-04
45                 3.0639824748e-02 2.0878396646e-01 3.9223096859e-03 2.2367229783e-02 2.0823842240e-01 4.0555016954e-03 8.2725949656e-03 5.4554405857e-04 -1.3319200948e-04
46                 3.0269210369e-02 2.0839624356e-01 3.9232608673e-03 2.2011340287e-02 2.0781198768e-01 4.0586102097e-03 8.2578700828e-03 5.8425587963e-04 -1.3534934245e-04
47                 3.0504564285e-02 2.0635936870e-01 3.9236575933e-03 2.2260963227e-02 2.0581278667e-01 4.0603515459e-03 8.2436010584e-03 5.4658203685e-04 -1.3669395264e-04
