# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                  5.4100512913e-01 5.9044677343e-02 -1.0555354837e-03 5.0113138097e-01 5.9237958934e-02 -1.0610644803e-03 3.9873748162e-02 -1.9328159174e-04 5.5289966558e-06
2                  1.3086227751e-01 1.9808548441e-01 9.4418575303e-03 1.0007866207e-01 1.9653613754e-01 9.4621372856e-03 3.0783615438e-02 1.5493468705e-03 -2.0279755351e-05
3                  -1.0767672712e-01 1.8303734535e-01 7.7877896516e-03 -1.3342140053e-01 1.8210223778e-01 7.8630742682e-03 2.5744673406e-02 9.3510756713e-04 -7.5284616605e-05
4                  -3.7479384486e-02 5.6122183736e-02 2.6041933141e-04 -6.1690413251e-02 5.6364198068e-02 3.3849500180e-04 2.4211028765e-02 -2.4201433135e-04 -7.8075670394e-05
5                  7.5718666497e-02 8.7981969033e-02 8.8500802009e-04 5.3270178568e-02 8.8024103167e-02 9.1139068882e-04 2.2448487929e-02 -4.2134134381e-05 -2.6382668733e-05
6                  8.5371594772e-02 1.7490833792e-01 5.2672056317e-03 6.4977004967e-02 1.7446665613e-01 5.2872207682e-03 2.0394589806e-02 4.4168178317e-04 -2.0015136455e-05
7                  4.0478106112e-02 1.6417727327e-01 5.2798094046e-03 2.2113086667e-02 1.6365887839e-01 5.3321705753e-03 1.8365019446e-02 5.1839487932e-04 -5.2361170701e-05
8                  2.2248084754e-02 1.3368487941e-01 3.2099794694e-03 5.4380388062e-03 1.3324260028e-01 3.2685696781e-03 1.6810045947e-02 4.4227913154e-04 -5.8590208725e-05
9                  3.3031679121e-02 1.5198844511e-01 3.2581555249e-03 1.7480126780e-02 1.5163019155e-01 3.3025203749e-03 1.5551552340e-02 3.5825355955e-04 -4.4364850082e-05
10                 3.7019421002e-02 1.7407804955e-01 4.3742330721e-03 2.2544183632e-02 1.7369066582e-01 4.4170716200e-03 1.4475237370e-02 3.8738372951e-04 -4.2838547879e-05
11                 3.2016841355e-02 1.6115410932e-01 4.3291791263e-03 1.8274132243e-02 1.6080735520e-01 4.3791091243e-03 1.3742709112e-02 3.4675411939e-04 -4.9929997999e-05
12                 3.1582857372e-02 1.5510949383e-01 3.6536076411e-03 1.8381845838e-02 1.5468905628e-01 3.7053117398e-03 1.3201011534e-02 4.2043754927e-04 -5.1704098744e-05
13                 3.4858401990e-02 1.6772142532e-01 3.5867384312e-03 2.2228464053e-02 1.6732750618e-01 3.6389462313e-03 1.2629937937e-02 3.9391913691e-04 -5.2207800118e-05
14                 3.1971811142e-02 1.7868665848e-01 3.9090108531e-03 1.9919138876e-02 1.7822235447e-01 3.9655729693e-03 1.2052672265e-02 4.6430401415e-04 -5.6562116217e-05
