# Moment          
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                  -8.1620990875e-03 8.0136129271e-02 1.5845975758e-02 -8.1906278149e-03 7.4080555381e-02 1.5900421163e-02 2.8528727328e-05 6.0555738902e-03 -5.4445405002e-05
2                  -2.8330141325e-02 1.9603445010e-02 2.7983226352e-03 -2.8097231425e-02 1.4913000742e-02 2.9704641373e-03 -2.3290990000e-04 4.6904442672e-03 -1.7214150210e-04
3                  -2.5989500385e-02 -1.5665721036e-02 -4.7438184042e-03 -2.5848921608e-02 -1.9590761800e-02 -4.6432909602e-03 -1.4057877638e-04 3.9250407646e-03 -1.0052744394e-04
4                  -7.5476408296e-03 -5.2967233187e-03 2.9628810067e-04 -7.5829511846e-03 -8.9797782420e-03 3.1947280079e-04 3.5310355005e-05 3.6830549233e-03 -2.3184700114e-05
5                  -1.2083894225e-02 1.1410851010e-02 4.0847476944e-03 -1.2090661209e-02 7.9954670969e-03 4.1146987850e-03 6.7669847241e-06 3.4153839127e-03 -2.9951090588e-05
6                  -2.4620939004e-02 1.2767505390e-02 2.4892122391e-03 -2.4553800453e-02 9.6607851092e-03 2.5468370609e-03 -6.7138550440e-05 3.1067202806e-03 -5.7624821714e-05
7                  -2.2858892888e-02 6.1152415232e-03 4.8826860939e-04 -2.2779587083e-02 3.3136057518e-03 5.4820621531e-04 -7.9305805566e-05 2.8016357714e-03 -5.9937605921e-05
8                  -1.8317936505e-02 3.4527681860e-03 7.7588325078e-04 -1.8249024965e-02 8.8613894709e-04 8.2785512714e-04 -6.8911539978e-05 2.5666292390e-03 -5.1971876355e-05
9                  -2.0972120097e-02 5.0991459093e-03 1.5026396889e-03 -2.0915990358e-02 2.7213030748e-03 1.5456273417e-03 -5.6129739234e-05 2.3778428344e-03 -4.2987652781e-05
10                 -2.4116819112e-02 5.7051211849e-03 1.0253743303e-03 -2.4055185379e-02 3.4855724228e-03 1.0703615740e-03 -6.1633732277e-05 2.2195487622e-03 -4.4987243645e-05
11                 -2.2147320700e-02 4.9452703711e-03 4.3312621213e-04 -2.2091135376e-02 2.8347085402e-03 4.7569232283e-04 -5.6185323836e-05 2.1105618309e-03 -4.2566110704e-05
12                 -2.1239177901e-02 4.8581833647e-03 6.3048894888e-04 -2.1171520497e-02 2.8287397988e-03 6.7427563771e-04 -6.7657403897e-05 2.0294435659e-03 -4.3786688834e-05
