# Moment          
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                  -8.1572221902e-03 8.0124225962e-02 1.5847332687e-02 -8.1869002421e-03 7.4067168087e-02 1.5901511672e-02 2.9678051895e-05 6.0570578751e-03 -5.4178985313e-05
2                  -2.8350698356e-02 1.9598060302e-02 2.7819503119e-03 -2.8117774031e-02 1.4906158401e-02 2.9538730853e-03 -2.3292432499e-04 4.6919019018e-03 -1.7192277344e-04
3                  -2.6009170493e-02 -1.5645972830e-02 -4.7813293345e-03 -2.5867936933e-02 -1.9578281197e-02 -4.6790416395e-03 -1.4123356020e-04 3.9323083672e-03 -1.0228769497e-04
4                  -7.3907268240e-03 -5.3008482372e-03 3.5638714769e-04 -7.4232273190e-03 -8.9920844604e-03 3.8113948330e-04 3.2500494967e-05 3.6912362232e-03 -2.4752335609e-05
5                  -1.2159960710e-02 1.1397780378e-02 4.0904100497e-03 -1.2163779108e-02 7.9746755890e-03 4.1218482821e-03 3.8183983765e-06 3.4231047894e-03 -3.1438232394e-05
6                  -2.4700770665e-02 1.2775749893e-02 2.4524618284e-03 -2.4633208104e-02 9.6621021808e-03 2.5108010704e-03 -6.7562561229e-05 3.1136477122e-03 -5.8339242004e-05
7                  -2.2822725533e-02 6.1273328448e-03 4.6080143560e-04 -2.2742869465e-02 3.3197670802e-03 5.2121597025e-04 -7.9856067685e-05 2.8075657646e-03 -6.0414534652e-05
8                  -1.8271003426e-02 3.4589760763e-03 7.9117084443e-04 -1.8202002051e-02 8.8665259250e-04 8.4324437378e-04 -6.9001374543e-05 2.5723234838e-03 -5.2073529349e-05
9                  -2.0983745200e-02 5.0988054089e-03 1.5168878712e-03 -2.0926932418e-02 2.7153992213e-03 1.5601947514e-03 -5.6812782382e-05 2.3834061876e-03 -4.3306880190e-05
10                 -2.4125554876e-02 5.7093498638e-03 1.0272924442e-03 -2.4063840836e-02 3.4854715399e-03 1.0724936641e-03 -6.1714039922e-05 2.2238783239e-03 -4.5201219986e-05
11                 -2.2147434521e-02 4.9462366109e-03 4.2947390888e-04 -2.2090833084e-02 2.8317380234e-03 4.7224480671e-04 -5.6601436924e-05 2.1144985876e-03 -4.2770897824e-05
12                 -2.1247785726e-02 4.8605472458e-03 6.4288481966e-04 -2.1180280665e-02 2.8278423200e-03 6.8680513956e-04 -6.7505061127e-05 2.0327049258e-03 -4.3920319904e-05
13                 -2.3060396700e-02 5.3369097863e-03 1.1009243773e-03 -2.2996936509e-02 3.3885580688e-03 1.1412704405e-03 -6.3460191724e-05 1.9483517175e-03 -4.0346063215e-05
14                 -2.4583887666e-02 4.9332515548e-03 8.8430653590e-04 -2.4510518575e-02 3.0698424215e-03 9.2641873182e-04 -7.3369090621e-05 1.8634091333e-03 -4.2112195925e-05
15                 -2.3583229083e-02 4.4921649828e-03 4.8865058593e-04 -2.3518607820e-02 2.6842820280e-03 5.2839498343e-04 -6.4621263076e-05 1.8078829547e-03 -3.9744397502e-05
16                 -2.3188501023e-02 4.7246152268e-03 4.7865706302e-04 -2.3118839235e-02 2.9423552736e-03 5.2036170213e-04 -6.9661787742e-05 1.7822599533e-03 -4.1704639106e-05
17                 -2.4281506293e-02 5.1351047515e-03 8.4824922577e-04 -2.4217147615e-02 3.3872208599e-03 8.8706296712e-04 -6.4358678157e-05 1.7478838916e-03 -3.8813741353e-05
18                 -2.5611795302e-02 4.8056646640e-03 9.2314429814e-04 -2.5536402578e-02 3.1160009047e-03 9.6335826998e-04 -7.5392723730e-05 1.6896637593e-03 -4.0213971838e-05
19                 -2.5605914125e-02 4.3728245332e-03 7.4502840352e-04 -2.5534853507e-02 2.7382601757e-03 7.8287697265e-04 -7.1060617781e-05 1.6345643575e-03 -3.7848569125e-05
