# Moment          
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                  -9.3646756016e-03 6.1450180328e-02 1.2503076442e-02 -9.3899754906e-03 5.2572327063e-02 1.2585814985e-02 2.5299889061e-05 8.8778532647e-03 -8.2738543119e-05
2                  -1.7753702021e-02 1.3611699610e-02 8.6398435201e-04 -1.7694310323e-02 6.5807246808e-03 1.0328286329e-03 -5.9391698594e-05 7.0309749295e-03 -1.6884428089e-04
3                  -1.3520476767e-02 -1.2265069532e-02 -4.3336859855e-03 -1.3443396046e-02 -1.8062454005e-02 -4.2102966080e-03 -7.7080720412e-05 5.7973844730e-03 -1.2338937746e-04
4                  -5.0248152172e-03 8.5766424317e-04 6.5482782142e-04 -5.0063086713e-03 -4.2901314702e-03 7.1230300128e-04 -1.8506545877e-05 5.1477957133e-03 -5.7475179860e-05
5                  -8.1913793554e-03 1.1970097984e-02 2.6583228977e-03 -8.1826568780e-03 7.3556845199e-03 2.7118129449e-03 -8.7224774418e-06 4.6144134637e-03 -5.3490047234e-05
6                  -1.3509460395e-02 9.0213163803e-03 8.9731611632e-04 -1.3466012814e-02 4.9440738744e-03 9.6783726282e-04 -4.3447581619e-05 4.0772425060e-03 -7.0521146498e-05
7                  -1.2407514138e-02 4.1908792908e-03 2.3216618941e-04 -1.2351955064e-02 5.8207654059e-04 2.9857487055e-04 -5.5559073977e-05 3.6088027502e-03 -6.6408681138e-05
8                  -1.0901930972e-02 3.9344788138e-03 8.6830677075e-04 -1.0855533766e-02 6.7288334732e-04 9.2173368012e-04 -4.6397205801e-05 3.2615954665e-03 -5.3426909374e-05
9                  -1.2191463600e-02 4.7176334992e-03 7.3311240098e-04 -1.2146019340e-02 1.7105928090e-03 7.8173888325e-04 -4.5444259854e-05 3.0070406902e-03 -4.8626482271e-05
10                 -1.2603285766e-02 4.2590399439e-03 1.4339238868e-04 -1.2547420317e-02 1.4524535840e-03 1.9304030459e-04 -5.5865449842e-05 2.8065863599e-03 -4.9647915908e-05
11                 -1.1410578248e-02 3.8412515033e-03 1.1265841557e-04 -1.1348439208e-02 1.1980639378e-03 1.6116041200e-04 -6.2139040691e-05 2.6431875655e-03 -4.8501996430e-05
12                 -1.1113859017e-02 4.1234726166e-03 4.0761404782e-04 -1.1050533613e-02 1.6116657781e-03 4.5296349276e-04 -6.3325403952e-05 2.5118068384e-03 -4.5349444947e-05
13                 -1.1703115849e-02 4.1658943202e-03 3.6139459111e-04 -1.1638709757e-02 1.7631404176e-03 4.0401365817e-04 -6.4406092702e-05 2.4027539026e-03 -4.2619067057e-05
14                 -1.1615864646e-02 3.7162125436e-03 1.0449232393e-04 -1.1548556709e-02 1.4070879154e-03 1.4555948283e-04 -6.7307936248e-05 2.3091246282e-03 -4.1067158903e-05
15                 -1.0924302004e-02 3.4938737321e-03 5.6637901583e-05 -1.0854286368e-02 1.2634762740e-03 9.6390559947e-05 -7.0015636130e-05 2.2303974581e-03 -3.9752658364e-05
16                 -1.0743038138e-02 3.6087320140e-03 1.2539241141e-04 -1.0670467042e-02 1.4442958848e-03 1.6409246490e-04 -7.2571096724e-05 2.1644361293e-03 -3.8700053491e-05
17                 -1.0673584189e-02 3.6398801828e-03 7.5772996844e-05 -1.0599349906e-02 1.5353565861e-03 1.1339250691e-04 -7.4234282086e-05 2.1045235968e-03 -3.7619510062e-05
18                 -1.0371398177e-02 3.4812023938e-03 3.4016761338e-06 -1.0295458863e-02 1.4319696303e-03 4.0069299344e-05 -7.5939314143e-05 2.0492327635e-03 -3.6667623210e-05
19                 -1.0043903733e-02 3.3842959186e-03 4.0601892234e-05 -9.9667037948e-03 1.3845993162e-03 7.6165124773e-05 -7.7199937972e-05 1.9996966024e-03 -3.5563232539e-05
20                 -1.0046594261e-02 3.4135281737e-03 1.0364330020e-04 -9.9680261398e-03 1.4576095013e-03 1.3835795054e-04 -7.8568121054e-05 1.9559186725e-03 -3.4714650334e-05
21                 -9.9406246356e-03 3.3928358542e-03 7.0223752646e-05 -9.8611259661e-03 1.4770582980e-03 1.0417519121e-04 -7.9498669462e-05 1.9157775562e-03 -3.3951438565e-05
22                 -9.5924145050e-03 3.2989617594e-03 -5.7961543270e-06 -9.5118202090e-03 1.4203849538e-03 2.7558605860e-05 -8.0594296015e-05 1.8785768056e-03 -3.3354760187e-05
