# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.0000000000e-01
# lRef            : 1.0000000000e-01
# Aref            : 3.0000000000e-02
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	5.2348967786e-01	1.8279632632e-01	3.4069335154e-01	5.7161902362e-02	-1.2473806996e-01	1.8189997232e-01	-1.5331902114e-01	-7.8948512610e-02	7.7535134627e-01	1.0196600547e-03	7.7586117629e-01	-7.7484151624e-01
2                 	1.2663756860e-01	-2.1124524405e-01	3.3788281265e-01	1.9182310977e-01	6.8992237222e-02	1.2283087255e-01	-2.6919317665e-02	-2.7456402835e-01	1.8972217775e-01	-9.1358900751e-03	1.8515423271e-01	-1.9429012279e-01
3                 	-1.0429431909e-01	-3.0296957455e-01	1.9867525546e-01	1.7674473732e-01	1.3445664364e-01	4.2288093684e-02	4.6084274976e-02	-2.5082241500e-01	-1.5148499010e-01	-7.5347467469e-03	-1.5525236347e-01	1.4771761672e-01
4                 	-3.6240357200e-02	-9.1309617611e-02	5.5069260412e-02	5.4896471904e-02	2.4131177410e-02	3.0765294494e-02	-3.3170585422e-03	-7.3189439011e-02	-5.1210900661e-02	-2.5071918306e-04	-5.1336260253e-02	5.1085541070e-02
5                 	7.3285406150e-02	-8.0955300443e-02	1.5424070659e-01	8.5206496330e-02	3.0364386948e-03	8.2170057635e-02	-3.9566809470e-02	-1.1759800352e-01	1.1031988067e-01	-8.5515515597e-04	1.0989230309e-01	-1.1074745825e-01
6                 	8.2569812230e-02	-1.9684595355e-01	2.7941576578e-01	1.6891370853e-01	6.0628905766e-02	1.0828480277e-01	-2.3827948500e-02	-2.3813085967e-01	1.2357454353e-01	-5.0966346023e-03	1.2102622623e-01	-1.2612286083e-01
7                 	3.9076273656e-02	-2.0168234015e-01	2.4075861381e-01	1.5891634729e-01	7.4979895615e-02	8.3936451677e-02	-4.4782780313e-03	-2.2122047698e-01	5.9131969381e-02	-5.1084594612e-03	5.6577739650e-02	-6.1686199112e-02
8                 	2.1510222937e-02	-1.6646488694e-01	1.8797510988e-01	1.2952188420e-01	5.7138948408e-02	7.2382935792e-02	-7.6219936920e-03	-1.7721999841e-01	3.3438397417e-02	-3.1056313255e-03	3.1885581754e-02	-3.4991213079e-02
9                 	3.1950251629e-02	-1.8714263123e-01	2.1909288286e-01	1.4707763565e-01	5.8889522020e-02	8.8188113633e-02	-1.4649295807e-02	-2.0311775705e-01	4.9270957093e-02	-3.1523373290e-03	4.7694788429e-02	-5.0847125758e-02
10                	3.5803963543e-02	-2.1532690382e-01	2.5113086737e-01	1.6835696990e-01	7.4235476814e-02	9.4121493083e-02	-9.9430081345e-03	-2.3322888560e-01	5.5198512173e-02	-4.2327725269e-03	5.3082125910e-02	-5.7314898436e-02
11                	3.0956500571e-02	-1.9898860575e-01	2.2994510632e-01	1.5592684232e-01	7.3817312004e-02	8.2109530320e-02	-4.1461091580e-03	-2.1446685603e-01	4.7843583260e-02	-4.1890649240e-03	4.5749050798e-02	-4.9938115722e-02
12                	3.0560324489e-02	-1.9029668246e-01	2.2085700695e-01	1.5003038996e-01	6.8817853732e-02	8.1212536231e-02	-6.1973412494e-03	-2.0557684470e-01	4.7044310166e-02	-3.5355230722e-03	4.5276548630e-02	-4.8812071703e-02
13                	3.3689348319e-02	-2.0615423429e-01	2.3984358261e-01	1.6214300712e-01	7.0416793899e-02	9.1726213222e-02	-1.0654709661e-02	-2.2299890845e-01	5.1563496169e-02	-3.4707731534e-03	4.9828109592e-02	-5.3298882745e-02
14                	3.0902656371e-02	-2.2231776352e-01	2.5322041989e-01	1.7285487631e-01	7.7885488913e-02	9.4969387394e-02	-8.5419492407e-03	-2.3776909171e-01	4.7681436968e-02	-3.7826110528e-03	4.5790131441e-02	-4.9572742494e-02
15                	2.7931982134e-02	-2.1432122427e-01	2.4225320641e-01	1.6663078874e-01	7.8624313797e-02	8.8006474938e-02	-4.6910805702e-03	-2.2828721534e-01	4.3471827032e-02	-3.8576311931e-03	4.1543011435e-02	-4.5400642628e-02
16                	2.9494870143e-02	-2.0942268580e-01	2.3891755595e-01	1.6373911733e-01	7.7264043211e-02	8.6475074118e-02	-4.6055154535e-03	-2.2417012088e-01	4.5783138803e-02	-3.7449345438e-03	4.3910671531e-02	-4.7655606075e-02
17                	3.2235295411e-02	-2.1851022887e-01	2.5074552428e-01	1.7088452416e-01	7.7231233946e-02	9.3653290210e-02	-8.2110281317e-03	-2.3462787657e-01	4.9628468920e-02	-3.7389717304e-03	4.7758983055e-02	-5.1497954785e-02
18                	3.0101453732e-02	-2.3267613415e-01	2.6277758788e-01	1.8065142188e-01	8.1412784375e-02	9.9238637509e-02	-8.9129265669e-03	-2.4772686102e-01	4.6415318339e-02	-3.7816089474e-03	4.4524513865e-02	-4.8306122813e-02
19                	2.7265159349e-02	-2.3416778188e-01	2.6143294123e-01	1.8141050201e-01	8.3493692464e-02	9.7916809550e-02	-7.2115585431e-03	-2.4780036156e-01	4.2323793141e-02	-3.7217701478e-03	4.0462908067e-02	-4.4184678215e-02
20                	2.7803773055e-02	-2.3054420720e-01	2.5834798025e-01	1.7929887990e-01	8.4449479207e-02	9.4849400691e-02	-5.1999607417e-03	-2.4444609372e-01	4.3308606243e-02	-3.6544491847e-03	4.1481381651e-02	-4.5135830836e-02
21                	3.1282205483e-02	-2.2879389210e-01	2.6007609759e-01	1.7892139646e-01	8.3367168611e-02	9.5554227853e-02	-6.0935296213e-03	-2.4443499484e-01	4.8403776188e-02	-3.6946110574e-03	4.6556470659e-02	-5.0251081717e-02
22                	3.1630296667e-02	-2.3730538283e-01	2.6893567950e-01	1.8509647966e-01	8.5014229797e-02	1.0008224986e-01	-7.5340100311e-03	-2.5312053117e-01	4.8765597578e-02	-3.7850796375e-03	4.6873057759e-02	-5.0658137397e-02
23                	2.9275470529e-02	-2.4560901649e-01	2.7488448702e-01	1.9089431636e-01	8.7063492382e-02	1.0383082398e-01	-8.3836657978e-03	-2.6024675175e-01	4.5185670208e-02	-3.8056951675e-03	4.3282822624e-02	-4.7088517792e-02
24                	2.7102262741e-02	-2.5021118825e-01	2.7731345099e-01	1.9409963575e-01	8.9617379378e-02	1.0448225637e-01	-7.4324384948e-03	-2.6376231962e-01	4.2076897228e-02	-3.7474406503e-03	4.0203176903e-02	-4.3950617553e-02
25                	2.8435571863e-02	-2.5021559569e-01	2.7865116755e-01	1.9480181190e-01	9.0420173030e-02	1.0438163887e-01	-6.9807329221e-03	-2.6443338162e-01	4.4151996724e-02	-3.7005879847e-03	4.2301702732e-02	-4.6002290717e-02
26                	3.0280534656e-02	-2.5125272814e-01	2.8153326280e-01	1.9612013992e-01	9.1715770237e-02	1.0440436968e-01	-6.3442997227e-03	-2.6639299547e-01	4.6890935880e-02	-3.7178220008e-03	4.5032024880e-02	-4.8749846881e-02
27                	3.1094865753e-02	-2.5227354818e-01	2.8336841393e-01	1.9732897670e-01	9.1954349344e-02	1.0537462736e-01	-6.7101390084e-03	-2.6782098106e-01	4.7984657018e-02	-3.7589038851e-03	4.6105205075e-02	-4.9864108961e-02
28                	2.9694998929e-02	-2.5533500654e-01	2.8503000547e-01	1.9943517387e-01	9.3303176518e-02	1.0613199736e-01	-6.4144104190e-03	-2.7018250601e-01	4.5846543477e-02	-3.7846355772e-03	4.3954225688e-02	-4.7738861266e-02
29                	2.8922919671e-02	-2.5775397632e-01	2.8667689599e-01	2.0143911621e-01	9.4096384030e-02	1.0734273218e-01	-6.6231740743e-03	-2.7221543616e-01	4.4695600372e-02	-3.7814500699e-03	4.2804875337e-02	-4.6586325407e-02
