# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                  1.9628640992e+00 2.1411645576e-01 -3.8239207511e-03 1.8182112980e+00 2.1484352537e-01 -3.8435488928e-03 1.4465280116e-01 -7.2706960183e-04 1.9628141730e-05
2                  4.7486697512e-01 7.1927371779e-01 3.4272726703e-02 3.6322253147e-01 7.1364334367e-01 3.4345913392e-02 1.1164444365e-01 5.6303741287e-03 -7.3186689661e-05
3                  -3.9054089127e-01 6.6280079988e-01 2.8259565913e-02 -4.8392693208e-01 6.5942672255e-01 2.8533884802e-02 9.3386040814e-02 3.3740773241e-03 -2.7431888913e-04
4                  -1.3612851056e-01 2.0460768713e-01 9.3176253556e-04 -2.2397910521e-01 2.0543523689e-01 1.2171232249e-03 8.7850594644e-02 -8.2754975420e-04 -2.8536068937e-04
5                  2.7448875754e-01 3.2085927564e-01 3.2013886360e-03 1.9305090436e-01 3.2095911224e-01 3.3000007224e-03 8.1437853172e-02 -9.9836597087e-05 -9.8612086330e-05
6                  3.0996963534e-01 6.3424932400e-01 1.9105056844e-02 2.3598933711e-01 6.3264436172e-01 1.9177916405e-02 7.3980298230e-02 1.6049622776e-03 -7.2859560907e-05
7                  1.4697228601e-01 5.9521514565e-01 1.9154842627e-02 8.0353325587e-02 5.9329981498e-01 1.9344150077e-02 6.6618960419e-02 1.9153306715e-03 -1.8930744964e-04
8                  8.0769846270e-02 4.8523738032e-01 1.1646475890e-02 1.9795029021e-02 4.8361223557e-01 1.1859198662e-02 6.0974817249e-02 1.6251447465e-03 -2.1272277147e-04
9                  1.1963674566e-01 5.5238825117e-01 1.1823056550e-02 6.3222282838e-02 5.5106061508e-01 1.1985322547e-02 5.6414462817e-02 1.3276360928e-03 -1.6226599683e-04
10                 1.3435336741e-01 6.3132707649e-01 1.5871616623e-02 8.1836362419e-02 6.2992845144e-01 1.6028238030e-02 5.2517004993e-02 1.3986250445e-03 -1.5662140700e-04
11                 1.1605092650e-01 5.8485786071e-01 1.5709832762e-02 6.6198031722e-02 5.8356230374e-01 1.5891857109e-02 4.9852894773e-02 1.2955569619e-03 -1.8202434693e-04
12                 1.1480641648e-01 5.6208834457e-01 1.3258507512e-02 6.6909538641e-02 5.6056661204e-01 1.3446433725e-02 4.7896877838e-02 1.5217325322e-03 -1.8792621280e-04
13                 1.2634677792e-01 6.0878544656e-01 1.3014842237e-02 8.0532503272e-02 6.0731197785e-01 1.3205194160e-02 4.5814274649e-02 1.4734687098e-03 -1.9035192360e-04
14                 1.1613449289e-01 6.4799008035e-01 1.4181824520e-02 7.2411838520e-02 6.4630517516e-01 1.4387170221e-02 4.3722654367e-02 1.6849051891e-03 -2.0534570100e-04
15                 1.0457769691e-01 6.2545998440e-01 1.4470328164e-02 6.2226324337e-02 6.2395776013e-01 1.4690056176e-02 4.2351372576e-02 1.5022242733e-03 -2.1972801136e-04
16                 1.1067617518e-01 6.1363717748e-01 1.4047082602e-02 6.8901646918e-02 6.1205883403e-01 1.4274794812e-02 4.1774528267e-02 1.5783434539e-03 -2.2771220933e-04
17                 1.2083987957e-01 6.4170078731e-01 1.4021655298e-02 7.9924796873e-02 6.4020735111e-01 1.4257770340e-02 4.0915082697e-02 1.4934361923e-03 -2.3611504179e-04
18                 1.1318284704e-01 6.7693543613e-01 1.4179501367e-02 7.3725921681e-02 6.7519909564e-01 1.4431998553e-02 3.9456925354e-02 1.7363404873e-03 -2.5249718565e-04
19                 1.0210997183e-01 6.8081126383e-01 1.3958256274e-02 6.4048639309e-02 6.7914271036e-01 1.4221836536e-02 3.8061332525e-02 1.6685534720e-03 -2.6358026250e-04
20                 1.0429811486e-01 6.7232552012e-01 1.3707346411e-02 6.6681399804e-02 6.7056100080e-01 1.3972358590e-02 3.7616715057e-02 1.7645193227e-03 -2.6501217861e-04
21                 1.1725036885e-01 6.7186372668e-01 1.3858319943e-02 7.9679864186e-02 6.7024187889e-01 1.4128215630e-02 3.7570504664e-02 1.6218477886e-03 -2.6989568713e-04
22                 1.1890636075e-01 6.9370776334e-01 1.4198461136e-02 8.1756282039e-02 6.9192404257e-01 1.4480583371e-02 3.7150078712e-02 1.7837207693e-03 -2.8212223511e-04
23                 1.0967496457e-01 7.1629952667e-01 1.4276221261e-02 7.3844938499e-02 7.1459341059e-01 1.4576023906e-02 3.5830026067e-02 1.7061160803e-03 -2.9980264550e-04
24                 1.0164381102e-01 7.2781600135e-01 1.4054786486e-02 6.6980707295e-02 7.2594327650e-01 1.4363785740e-02 3.4663103728e-02 1.8727248585e-03 -3.0899925395e-04
25                 1.0650210573e-01 7.3129824322e-01 1.3879635251e-02 7.2221024724e-02 7.2953239971e-01 1.4191699544e-02 3.4281081006e-02 1.7658435099e-03 -3.1206429268e-04
26                 1.1379404691e-01 7.3487908808e-01 1.3947266720e-02 7.9377701315e-02 7.3301393410e-01 1.4261617566e-02 3.4416345596e-02 1.8651539748e-03 -3.1435084631e-04
27                 1.1651695727e-01 7.4040802272e-01 1.4102113902e-02 8.2280535382e-02 7.3866977439e-01 1.4426441810e-02 3.4236421886e-02 1.7382483218e-03 -3.2432790727e-04
28                 1.1138232549e-01 7.4767485549e-01 1.4193731590e-02 7.7770850444e-02 7.4578291643e-01 1.4532065785e-02 3.3611475049e-02 1.8919390677e-03 -3.3833419539e-04
29                 1.0836512384e-01 7.5604328538e-01 1.4184161738e-02 7.5506110504e-02 7.5424140285e-01 1.4534115220e-02 3.2859013335e-02 1.8018825324e-03 -3.4995348205e-04
30                 1.0831122703e-01 7.6457578075e-01 1.4120645043e-02 7.5844127153e-02 7.6265043878e-01 1.4479340129e-02 3.2467099873e-02 1.9253419772e-03 -3.5869508651e-04
31                 1.1173557525e-01 7.6801161717e-01 1.4079781319e-02 7.9459416574e-02 7.6619405973e-01 1.4443973909e-02 3.2276158676e-02 1.8175574344e-03 -3.6419259028e-04
32                 1.1267022983e-01 7.7214328482e-01 1.4079058352e-02 8.0468741940e-02 7.7020424730e-01 1.4450943340e-02 3.2201487892e-02 1.9390375200e-03 -3.7188498852e-04
33                 1.1277848268e-01 7.7416482683e-01 1.4128260354e-02 8.0829958660e-02 7.7231711745e-01 1.4509507566e-02 3.1948524020e-02 1.8477093856e-03 -3.8124721146e-04
34                 1.1081299699e-01 7.7704727889e-01 1.4195813720e-02 7.9157511983e-02 7.7507099222e-01 1.4587287746e-02 3.1655485003e-02 1.9762866746e-03 -3.9147402640e-04
35                 1.1100533704e-01 7.7650708875e-01 1.4230106406e-02 7.9702942772e-02 7.7460919318e-01 1.4629598858e-02 3.1302394267e-02 1.8978955712e-03 -3.9949245250e-04
36                 1.1090262559e-01 7.7776740112e-01 1.4197602302e-02 7.9783395646e-02 7.7574904144e-01 1.4607085040e-02 3.1119229943e-02 2.0183596789e-03 -4.0948273770e-04
37                 1.1194315494e-01 7.7702794173e-01 1.4162061054e-02 8.0991500197e-02 7.7510285044e-01 1.4579141853e-02 3.0951654742e-02 1.9250912924e-03 -4.1708079921e-04
38                 1.1135672064e-01 7.7849113930e-01 1.4159740778e-02 8.0506391029e-02 7.7646173811e-01 1.4585828319e-02 3.0850329615e-02 2.0294011911e-03 -4.2608754092e-04
39                 1.1184951839e-01 7.7619195229e-01 1.4206372911e-02 8.1196449272e-02 7.7424494615e-01 1.4640538276e-02 3.0653069121e-02 1.9470061421e-03 -4.3416536452e-04
40                 1.1106530038e-01 7.7608331938e-01 1.4240193266e-02 8.0542838060e-02 7.7402514772e-01 1.4683992800e-02 3.0522462320e-02 2.0581716695e-03 -4.4379953427e-04
41                 1.1155635809e-01 7.7310583593e-01 1.4245937906e-02 8.1179708636e-02 7.7112218885e-01 1.4696322276e-02 3.0376649453e-02 1.9836470819e-03 -4.5038436954e-04
42                 1.1086576676e-01 7.7225453605e-01 1.4217064174e-02 8.0560528951e-02 7.7017381803e-01 1.4676247922e-02 3.0305237806e-02 2.0807180173e-03 -4.5918374794e-04
43                 1.1135399180e-01 7.6831910276e-01 1.4210955696e-02 8.1175428491e-02 7.6631849754e-01 1.4676088107e-02 3.0178563311e-02 2.0006052191e-03 -4.6513241099e-04
44                 1.1059385548e-01 7.6678456290e-01 1.4216911896e-02 8.0495945118e-02 7.6468274270e-01 1.4691203289e-02 3.0097910365e-02 2.1018201992e-03 -4.7429139236e-04
45                 1.1103579653e-01 7.6156345042e-01 1.4241977021e-02 8.1012772362e-02 7.5953424495e-01 1.4721945722e-02 3.0023024168e-02 2.0292054741e-03 -4.7996870126e-04
46                 1.1011456236e-01 7.5871384797e-01 1.4242795770e-02 8.0116877983e-02 7.5659128938e-01 1.4730913552e-02 2.9997684374e-02 2.1225585891e-03 -4.8811778153e-04
47                 1.1057567866e-01 7.5268742390e-01 1.4235899193e-02 8.0659650560e-02 7.5065132181e-01 1.4729543555e-02 2.9916028102e-02 2.0361020957e-03 -4.9364436226e-04
48                 1.0973239878e-01 7.4872864864e-01 1.4225953693e-02 7.9858459638e-02 7.4658516811e-01 1.4727742139e-02 2.9873939139e-02 2.1434805299e-03 -5.0178844613e-04
49                 1.0996090439e-01 7.4163146232e-01 1.4222780304e-02 8.0123706982e-02 7.3955716845e-01 1.4728912504e-02 2.9837197412e-02 2.0742938658e-03 -5.0613219991e-04
50                 1.0900217734e-01 7.3692554190e-01 1.4227412748e-02 7.9175609584e-02 7.3476048502e-01 1.4738959955e-02 2.9826567756e-02 2.1650568795e-03 -5.1154720678e-04
51                 1.0945349850e-01 7.2900580959e-01 1.4226613571e-02 7.9681052443e-02 7.2692682009e-01 1.4743318714e-02 2.9772446055e-02 2.0789894937e-03 -5.1670514327e-04
52                 1.0855141525e-01 7.2365549971e-01 1.4219862806e-02 7.8790995214e-02 7.2146847542e-01 1.4742963153e-02 2.9760420040e-02 2.1870242863e-03 -5.2310034733e-04
53                 1.0887149579e-01 7.1533846684e-01 1.4208077950e-02 7.9133255496e-02 7.1323797005e-01 1.4735397587e-02 2.9738240294e-02 2.1004967910e-03 -5.2731963679e-04
54                 1.0793510191e-01 7.0997435610e-01 1.4204029722e-02 7.8199117055e-02 7.0777891976e-01 1.4736056483e-02 2.9735984859e-02 2.1954363496e-03 -5.3202676133e-04
55                 1.0838052644e-01 7.0165685786e-01 1.4202766837e-02 7.8678815495e-02 6.9954918543e-01 1.4738080709e-02 2.9701710940e-02 2.1076724250e-03 -5.3531387221e-04
56                 1.0756503055e-01 6.9667552529e-01 1.4201610763e-02 7.7872248979e-02 6.9447138815e-01 1.4741929898e-02 2.9692781572e-02 2.2041371407e-03 -5.4031913484e-04
57                 1.0798237178e-01 6.8867781774e-01 1.4190001368e-02 7.8302402582e-02 6.8656455257e-01 1.4733209423e-02 2.9679969200e-02 2.1132651683e-03 -5.4320805460e-04
58                 1.0712112209e-01 6.8385095325e-01 1.4185444956e-02 7.7425751059e-02 6.8165273939e-01 1.4730739370e-02 2.9695371030e-02 2.1982138621e-03 -5.4529441431e-04
59                 1.0755699509e-01 6.7617275664e-01 1.4173707909e-02 7.7893417384e-02 6.7406305818e-01 1.4722191439e-02 2.9663577705e-02 2.1096984652e-03 -5.4848353021e-04
60                 1.0684007747e-01 6.7184024815e-01 1.4172240770e-02 7.7178945160e-02 6.6964159251e-01 1.4725099689e-02 2.9661132311e-02 2.1986556383e-03 -5.5285891849e-04
61                 1.0729363131e-01 6.6455286804e-01 1.4162801051e-02 7.7635921187e-02 6.6244683600e-01 1.4716145145e-02 2.9657710125e-02 2.1060320378e-03 -5.5334409470e-04
62                 1.0657059993e-01 6.6064974377e-01 1.4160020817e-02 7.6897529457e-02 6.5845917521e-01 1.4714868741e-02 2.9673070475e-02 2.1905685601e-03 -5.5484792418e-04
63                 1.0705393842e-01 6.5388817245e-01 1.4155891484e-02 7.7413911298e-02 6.5179309684e-01 1.4711598122e-02 2.9640027124e-02 2.0950756121e-03 -5.5570663818e-04
64                 1.0626173108e-01 6.5053953624e-01 1.4150342981e-02 7.6618124845e-02 6.4835188639e-01 1.4707531611e-02 2.9643606240e-02 2.1876498447e-03 -5.5718863004e-04
65                 1.0683215965e-01 6.4406878052e-01 1.4148467590e-02 7.7203086033e-02 6.4197768627e-01 1.4706803559e-02 2.9629073617e-02 2.0910942502e-03 -5.5833596946e-04
66                 1.0617573395e-01 6.4111342187e-01 1.4128494464e-02 7.6528916151e-02 6.3893627600e-01 1.4688257009e-02 2.9646817797e-02 2.1771458729e-03 -5.5976254493e-04
67                 1.0667908711e-01 6.3522060928e-01 1.4131241930e-02 7.7071615737e-02 6.3313446758e-01 1.4691375756e-02 2.9607471374e-02 2.0861416951e-03 -5.6013382627e-04
